Tube,CFU,,,,,,,,,
s34_vc5,960000000,,,,,,,,,
s1_vc08,240000000,,,,,,,,,
s10_vc08,28,,,,,,,,,
s11_vc08,85,,,,,,,,,
s12_vc08,1200,,,,,,,,,
s13_vc08,69,,,,,,,,,
s14_vc08,400,,,,,,,,,
s15_vc08,62,,,,,,,,,
s16_vc08,420000000,,,,,,,,,
s17_vc08,6000,,,,,,,,,
s18_vc08,5000,,,,,,,,,
s19_vc08,70000,,,,,,,,,
s2_vc08,1400,,,,,,,,,
s20_vc08,11200,,,,,,,,,
s21_vc08,34000,,,,,,,,,
s22_vc08,13400,,,,,,,,,
s23_vc08,8600,,,,,,,,,
s24_vc08,2400,,,,,,,,,
s25_vc08,400,,,,,,,,,
s26_vc08,2200,,,,,,,,,
s27_vc08,600,,,,,,,,,
s28_vc08,1600,,,,,,,,,
s29_vc08,4200,,,,,,,,,
s3_vc08,1600,,,,,,,,,
s30_vc08,1400,,,,,,,,,
s31_vc08,94000000,,,,,,,,,
s32_vc08,20000,,,,,,,,,
s33_vc08,28000,,,,,,,,,
s34_vc08,2600,,,,,,,,,
s35_vc08,12200,,,,,,,,,
s36_vc08,5200,,,,,,,,,
s37_vc08,9800,,,,,,,,,
s38_vc08,22800,,,,,,,,,
s39_vc08,1400,,,,,,,,,
s4_vc08,1000,,,,,,,,,
s40_vc08,800,,,,,,,,,
s41_vc08,600,,,,,,,,,
s42_vc08,9200,,,,,,,,,
s43_vc08,4800,,,,,,,,,
s44_vc08,3200,,,,,,,,,
s45_vc08,800,,,,,,,,,
s46_vc08,340000000,,,,,,,,,
s47_vc08,460000,,,,,,,,,
s48_vc08,50000,,,,,,,,,
s49_vc08,80000,,,,,,,,,
s5_vc08,2200,,,,,,,,,
s50_vc08,42000,,,,,,,,,
s51_vc08,340000,,,,,,,,,
s52_vc08,64000,,,,,,,,,
s53_vc08,14600,,,,,,,,,
s54_vc08,3800,,,,,,,,,
s55_vc08,220000,,,,,,,,,
s56_vc08,2000,,,,,,,,,
s57_vc08,60000,,,,,,,,,
s58_vc08,5400,,,,,,,,,
s59_vc08,26000,,,,,,,,,
s6_vc08,3000,,,,,,,,,
s60_vc08,6400,,,,,,,,,
s61_vc08,82,,,,,,,,,
s62_vc08,76,,,,,,,,,
s63_vc08,82,,,,,,,,,
s64_vc08,240000000,,,,,,,,,
s7_vc08,1600,,,,,,,,,
s8_vc08,130,,,,,,,,,
s9_vc08,54,,,,,,,,,
s1_vc12,39,,,,,,,,,
s10_vc12,91,,,,,,,,,
s11_vc12,4000,,,,,,,,,
s12_vc12,260000,,,,,,,,,
s13_vc12,149,,,,,,,,,
s14_vc12,18,,,,,,,,,
s15_vc12,600,,,,,,,,,
s16_vc12,1800000,,,,,,,,,
s17_vc12,1000,,,,,,,,,
s18_vc12,1800,,,,,,,,,
s19_vc12,289,,,,,,,,,
s2_vc12,19,,,,,,,,,
s20_vc12,12000,,,,,,,,,
s21_vc12,49,,,,,,,,,
s22_vc12,1200,,,,,,,,,
s23_vc12,1200,,,,,,,,,
s24_vc12,34000,,,,,,,,,
s25_vc12,101,,,,,,,,,
s26_vc12,31,,,,,,,,,
s27_vc12,26,,,,,,,,,
s28_vc12,1800,,,,,,,,,
s29_vc12,8,,,,,,,,,
s3_vc12,705,,,,,,,,,
s30_vc12,12,,,,,,,,,
s31_vc12,111,,,,,,,,,
s32_vc12,16000,,,,,,,,,
s33_vc12,38,,,,,,,,,
s34_vc12,61,,,,,,,,,
s35_vc12,12000,,,,,,,,,
s36_vc12,1600,,,,,,,,,
s37_vc12,38,,,,,,,,,
s38_vc12,10000,,,,,,,,,
s39_vc12,37,,,,,,,,,
s4_vc12,16000,,,,,,,,,
s40_vc12,4600,,,,,,,,,
s41_vc12,92,,,,,,,,,
s42_vc12,33,,,,,,,,,
s43_vc12,7600,,,,,,,,,
s44_vc12,7000,,,,,,,,,
s45_vc12,9,,,,,,,,,
s46_vc12,60,,,,,,,,,
s47_vc12,2200,,,,,,,,,
s48_vc12,8600,,,,,,,,,
s49_vc12,14,,,,,,,,,
s5_vc12,31,,,,,,,,,
s50_vc12,194,,,,,,,,,
s51_vc12,4200,,,,,,,,,
s52_vc12,1000,,,,,,,,,
s53_vc12,109,,,,,,,,,
s54_vc12,800,,,,,,,,,
s55_vc12,112,,,,,,,,,
s56_vc12,6800,,,,,,,,,
s57_vc12,34000000,,,,,,,,,
s58_vc12,74000000,,,,,,,,,
s59_vc12,74000000,,,,,,,,,
s6_vc12,28,,,,,,,,,
s60_vc12,240000000,,,,,,,,,
s61_vc12,10300,,,,,,,,,
s62_vc12,460000,,,,,,,,,
s63_vc12,340000,,,,,,,,,
s64_vc12,14600,,,,,,,,,
s7_vc12,43,,,,,,,,,
s8_vc12,32000,,,,,,,,,
s9_vc12,6,,,,,,,,,
