Sample,Group,Order
s34_vc5,1,1
s1_vc08,1,1
s10_vc08,1,1
s11_vc08,1,1
s12_vc08,1,1
s13_vc08,1,1
s14_vc08,1,1
s15_vc08,1,1
s16_vc08,1,1
s17_vc08,1,1
s18_vc08,1,1
s19_vc08,1,1
s2_vc08,1,1
s20_vc08,1,1
s21_vc08,1,1
s22_vc08,1,1
s23_vc08,1,1
s24_vc08,1,1
s25_vc08,1,1
s26_vc08,1,1
s27_vc08,1,1
s28_vc08,1,1
s29_vc08,1,1
s3_vc08,1,1
s30_vc08,1,1
s31_vc08,1,1
s32_vc08,1,1
s33_vc08,1,1
s34_vc08,1,1
s35_vc08,1,1
s36_vc08,1,1
s37_vc08,1,1
s38_vc08,1,1
s39_vc08,1,1
s4_vc08,1,1
s40_vc08,1,1
s41_vc08,1,1
s42_vc08,1,1
s43_vc08,1,1
s44_vc08,1,1
s45_vc08,1,1
s46_vc08,1,1
s47_vc08,1,1
s48_vc08,1,1
s49_vc08,1,1
s5_vc08,1,1
s50_vc08,1,1
s51_vc08,1,1
s52_vc08,1,1
s53_vc08,1,1
s54_vc08,1,1
s55_vc08,1,1
s56_vc08,1,1
s57_vc08,1,1
s58_vc08,1,1
s59_vc08,1,1
s6_vc08,1,1
s60_vc08,1,1
s61_vc08,1,1
s62_vc08,1,1
s63_vc08,1,1
s64_vc08,1,1
s7_vc08,1,1
s8_vc08,1,1
s9_vc08,1,1
s1_vc12,1,1
s10_vc12,1,1
s11_vc12,1,1
s12_vc12,1,1
s13_vc12,1,1
s14_vc12,1,1
s15_vc12,1,1
s16_vc12,1,1
s17_vc12,1,1
s18_vc12,1,1
s19_vc12,1,1
s2_vc12,1,1
s20_vc12,1,1
s21_vc12,1,1
s22_vc12,1,1
s23_vc12,1,1
s24_vc12,1,1
s25_vc12,1,1
s26_vc12,1,1
s27_vc12,1,1
s28_vc12,1,1
s29_vc12,1,1
s3_vc12,1,1
s30_vc12,1,1
s31_vc12,1,1
s32_vc12,1,1
s33_vc12,1,1
s34_vc12,1,1
s35_vc12,1,1
s36_vc12,1,1
s37_vc12,1,1
s38_vc12,1,1
s39_vc12,1,1
s4_vc12,1,1
s40_vc12,1,1
s41_vc12,1,1
s42_vc12,1,1
s43_vc12,1,1
s44_vc12,1,1
s45_vc12,1,1
s46_vc12,1,1
s47_vc12,1,1
s48_vc12,1,1
s49_vc12,1,1
s5_vc12,1,1
s50_vc12,1,1
s51_vc12,1,1
s52_vc12,1,1
s53_vc12,1,1
s54_vc12,1,1
s55_vc12,1,1
s56_vc12,1,1
s57_vc12,1,1
s58_vc12,1,1
s59_vc12,1,1
s6_vc12,1,1
s60_vc12,1,1
s61_vc12,1,1
s62_vc12,1,1
s63_vc12,1,1
s64_vc12,1,1
s7_vc12,1,1
s8_vc12,1,1
s9_vc12,1,1
