"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s34_vc5",145803,197,674,1968.98033546959,3779,263.041520562112,9.6e+08,3.57737689191701,8.98227123303957,254035.459116168
"s1_vc08",281096,177,350,295.826871514132,995,319.010804734922,2.4e+08,2.99782308074573,8.38021124171161,241206.030150754
"s10_vc08",54487,9,9.42105263157895,7.02777909856367,9.42105263157895,13.1924764675519,28,0.974099430027064,1.44715803134222,2.97206703910615
"s11_vc08",132748,15,11,4.43554825642065,16.5555555555556,53.9998430829476,85,1.21894375897295,1.92941892571429,5.13422818791946
"s12_vc08",237516,20,5.44444444444444,2.19417537747418,22.25,594.353508723572,1200,1.34733001531695,3.07918124604762,53.9325842696629
"s13_vc08",260627,23,23.5,11.4092340068654,26,37.8709182151352,69,1.41497334797082,1.83884909073726,2.65384615384615
"s14_vc08",661194,25,12.1111111111111,4.29583970099071,28.5,193.272632265008,400,1.45484486000851,2.60205999132796,14.0350877192982
"s15_vc08",74008,18,17.8421052631579,7.87048267859489,18.8947368421053,27.9703424395857,62,1.27634084762549,1.79239168949825,3.28133704735376
"s16_vc08",234230,175,362,312.912918190905,945,314.546756848481,4.2e+08,2.97543180850926,8.6232492903979,444444.444444444
"s17_vc08",269106,95,52.4285714285714,10.177612583744,157.666666666667,677.268612163487,6000,2.19773988601815,3.77815125038364,38.0549682875264
"s18_vc08",407639,137,54.3333333333333,3.48385842615208,357,2314.9092362135,5000,2.55266821611219,3.69897000433602,14.0056022408964
"s19_vc08",463101,82,28.5,5.43598245146351,126,1276.28407969488,70000,2.10037054511756,4.84509804001426,555.555555555556
"s2_vc08",317157,45,17.8421052631579,3.93094622335908,54.75,744.542987192995,1400,1.73838412351216,3.14612803567824,25.5707762557078
"s20_vc08",415605,155,137.666666666667,29.6265510766058,493,848.594361194508,11200,2.69284691927723,4.04921802267018,22.7180527383367
"s21_vc08",366497,167,67.6666666666667,7.24383502975885,704,2648.75281597363,34000,2.84757265914211,4.53147891704226,48.2954545454545
"s22_vc08",282731,172,141,9.08762774500781,784,1199.00874733198,13400,2.89431606268444,4.12710479836481,17.0918367346939
"s23_vc08",356869,27,5.70588235294118,1.78698436446621,32.25,723.565752603903,8600,1.50852971897129,3.93449845124357,266.666666666667
"s24_vc08",108396,97,48.5,15.4832324961059,161,1034.25585768997,2400,2.20682587603185,3.38021124171161,14.9068322981366
"s25_vc08",80758,38,29,11.7506194621799,45.2857142857143,100.436300910551,400,1.65596122220349,2.60205999132796,8.83280757097792
"s26_vc08",91417,90,33.5,6.06917872884547,139,1728.28000209593,2200,2.14301480025409,3.34242268082221,15.8273381294964
"s27_vc08",126437,40,37.4705882352941,7.18609341328313,48.1428571428571,118.471125501104,600,1.68253186085708,2.77815125038364,12.4629080118694
"s28_vc08",227980,76,28.5,8.05796719547403,108.272727272727,1118.50539686207,1600,2.03451907632455,3.20411998265592,14.7774979009236
