Tube,CFU
L7176,148
L7177,1036
L7178,6000
L7179,2400000
L7180,11
L7181,12
L7182,7
L7183,452
S7176,216
S7177,408
S7178,2800
S7179,41
S7180,11
S7181,22
S7182,16
S7183,376
L7195,13
L7200,8
L7197,17
L7199,2200000
L7191,11000000
L7170,53
L7184,22
L7189,14
L7192,176
L7196,452
L7194,6
L7193,2700000
L7190,1100000
L7167,732
L7168,208
L7198,576
L7169,6
S7195,39
S7200,18
S7197,652
S7199,45
S7191,26
S7170,480
S7184,5
S7189,10
S7192,456
S7196,496
S7194,8
S7193,73
S7190,58
S7167,292
S7168,240
S7198,236
S7169,18
L7401,0
L7402,4
L7403,0
L7404,1
L7405,1
L7406,3
L7407,90
L7408,1
L7409,0
L7410,9
L7411,14
L7412,2
L7413,105
L7414,14
L7415,0
L7416,0
L7417,5
L7418,0
S7401,8
S7402,13
S7403,93
S7404,7
S7405,16
S7406,41
S7407,74
S7408,14
S7409,16
S7410,40
S7411,75
S7412,4
S7413,96
S7414,212
S7415,5
S7416,2
S7417,7
S7418,2
L7027,0
L7028,1
L7029,0
L7030,0
L7031,0
L7032,1
L7033,0
L7034,1
L7035,0
L7036,0
L7037,1
S7027,0
S7028,16
S7029,4
S7030,2
S7031,4
S7032,16
S7033,1
S7034,0
S7035,11
S7036,6
S7037,5
U7027,2
U7028,5
U7029,2
U7030,2
U7031,7
U7032,3
U7033,8
U7034,2
U7035,4
U7036,1
U7037,0
L7039,10
L7040,3
L7041,7
L7042,296
L7043,46
L7045,1500000
L7046,2
L7047,0
L7048,5
S7039,12
S7040,24
S7041,22
S7042,19
S7043,168
S7045,7
S7046,68
S7047,182
S7048,3
U7039,28
U7040,4
U7041,76
U7042,205
U7043,74
U7045,18
U7046,43
U7047,67
U7048,42
L7094,34000
L7095,4600
L7096,900000
L7097,1200000
L7098,10000
L7099,1076
L7100,61
L1,1400
L2,380
L3,15000
L4,160000
L5,4600000
L6,91
L7,25000
L9,130000
L10,46
L11,4200000
L12,4000000
L13,2600
L14,68000000
S7094,1500
S7095,1400
S7096,47
S7097,16
S7098,3700
S7099,1500
S7100,41
S1,1280
S2,652
S3,536
S4,428
S5,56
S6,106
S7,1800
S9,90
S10,71
S11,2100
S12,1004
S13,2400
S14,29000
U7094,1400
U7095,552
U7096,620
U7097,554
U7098,812
U7099,848
U7100,328
U1,328
U2,572
U3,1184
U4,788
U5,352
U6,1400
U7,1900
U9,2300
U10,74
U11,27000
U12,920
U13,2400
U14,1600
