"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"L7167",229288,253,171.764705882353,63.8932830324979,291.631578947368,1196.3649956899,732,2.46483454920708,2.86451108105839,2.5100162425555
"L7168",219526,31,18,3.08746821835334,31,155.566672594413,208,1.49136169383427,2.31806333496276,6.70967741935484
"L7169",235077,6,6,7.37828939755865,6,9.90598249247804,6,0.778151250383644,0.778151250383644,1
"L7170",205142,33,31,22.539381221852,34,44.9167541309225,53,1.53147891704226,1.72427586960079,1.55882352941176
"L7176",103780,83,51.5789473684211,9.57550066504402,86.6666666666667,425.233773418044,148,1.93785209325116,2.17026171539496,1.70769230769231
"L7177",294961,76,46.3157894736842,7.90618507771905,78.8888888888889,356.163407404606,1036,1.89701583927975,3.01535975540921,13.1323943661972
"L7178",455226,3,3,2.56111592957174,3,3.05494227866508,6000,0.477121254719662,3.77815125038364,2000
"L7179",227699,38,18,6.19337420345087,38,299.93332781312,2400000,1.57978359661681,6.38021124171161,63157.8947368421
"L7180",87119,11,10,9.57094464701395,11,17.5750042146005,11,1.04139268515823,1.04139268515823,1
"L7181",33575,10,10,8.20346480409101,10,10.8955549179285,12,1,1.07918124604762,1.2
"L7182",69331,7,7,2.58854323950389,7,7.66982165945602,7,0.845098040014257,0.845098040014257,1
"L7183",192817,79,47.3684210526316,7.82782678526456,82.2222222222222,500.506097715014,452,1.91498921029165,2.65513843481138,5.4972972972973
"L7184",196899,22,20,19.6288337882837,22.1052631578947,25.8534348938533,22,1.34449568944507,1.34242268082221,0.995238095238095
"L7189",231655,16,15,13.674483252983,16,18.9422635443846,14,1.20411998265592,1.14612803567824,0.875
"L7190",267450,32,13,7.79288485507892,32,457.358009473056,1100000,1.50514997831991,6.04139268515823,34375
"L7191",217951,40,12,2.62783508060891,41.1111111111111,978.240576777364,1.1e+07,1.61395921462767,7.04139268515823,267567.567567568
"L7192",264994,64,46.3157894736842,11.3082713169901,65.5555555555556,194.357064798078,176,1.81660950220282,2.24551266781415,2.68474576271186
"L7193",220665,44,18,9.30905270878103,44.4444444444444,633.33808262455,2700000,1.64781748188864,6.43136376415899,60750
"L7194",331521,6,6,6.64689914467468,6,6.42161658805486,6,0.778151250383644,0.778151250383644,1
"L7195",133768,13,11,12.4693242102498,13,19.755911435873,13,1.11394335230684,1.11394335230684,1
"L7196",432131,146,110,32.0103522056276,156.842105263158,403.214780891118,452,2.19546266312343,2.65513843481138,2.88187919463087
"L7197",288734,17,16,16.1187657727835,17,18.9846659555045,17,1.23044892137827,1.23044892137827,1
"L7198",261740,147,101,19.6852027818708,160,630.105120528596,576,2.20411998265592,2.76042248342321,3.6
"L7199",263017,7,4,1.05253799715946,7,27.8937255420588,2200000,0.845098040014257,6.34242268082221,314285.714285714
"L7200",212034,10,10,8.67528245496994,10,11.2512718798259,8,1,0.903089986991944,0.8
"L7402",195930,4,3,1.89647312760229,4,22.6494434070284,4,0.602059991327962,0.602059991327962,1
"L7404",105841,1,1,1.38145111992565,1,1,1,0,0,1
"L7405",121767,1,1,1.36786150408182,1,1,1,0,0,1
"L7406",142708,3,3,2.38337635121558,3,3.22366666697228,3,0.477121254719662,0.477121254719662,1
"L7407",197914,9,7,3.73290462048458,9,29.6564549466544,90,0.954242509439325,1.95424250943932,10
"L7408",132260,1,1,1.16985022616448,1,1,1,0,0,1
"L7410",219929,3,3,1.91374660474928,3,4.00950898152251,9,0.477121254719662,0.954242509439325,3
"L7411",300819,8,8,6.15610221334615,8,10.620520077871,14,0.903089986991944,1.14612803567824,1.75
"L7412",253009,2,2,1.41591374582527,2,2.16488136878038,2,0.301029995663981,0.301029995663981,1
"L7413",150063,11,7,2.23081408705132,11,40.3599888863032,105,1.04139268515823,2.02118929906994,9.54545454545454
"L7414",217730,5,5,4.99397511248147,5,7.54389480852877,14,0.698970004336019,1.14612803567824,2.8
"L7417",174200,5,4,5.85906497645662,5,17.7956852179155,5,0.698970004336019,0.698970004336019,1
"S7167",185141,207,193.571428571429,141.580559919818,231.941176470588,328.693014146526,292,2.36537785569495,2.46538285144842,1.25893989348212
"S7168",239782,148,111.764705882353,1.4587351118798,160,659.324798710557,240,2.20411998265592,2.38021124171161,1.5
"S7169",293401,12,11,9.62029927228468,12,16.1802972434859,18,1.07918124604762,1.25527250510331,1.5
"S7170",152107,468,419.538461538462,211.289077332591,640.75,1118.40277971982,480,2.80668861485628,2.68124123737559,0.74912212251268
"S7176",220956,148,137.142857142857,39.1269368556959,160,240.047125758221,216,2.20411998265592,2.33445375115093,1.35
