barcode,in0a,in0a_v2,in0a_v3,in0a_v4,in0a_v5,in0a_v6,in0a_v7,in0a_v8,L7167,L7168,L7169,L7170,L7176,L7177,L7178,L7179,L7180,L7181,L7182,L7183,L7184,L7189,L7190,L7191,L7192,L7193,L7194,L7195,L7196,L7197,L7198,L7199,L7200,L7402,L7404,L7405,L7406,L7407,L7408,L7410,L7411,L7412,L7413,L7414,L7417,S7167,S7168,S7169,S7170,S7176,S7177,S7178,S7179,S7180,S7181,S7182,S7183,S7184,S7189,S7190,S7191,S7192,S7193,S7194,S7195,S7196,S7197,S7198,S7199,S7200,S7401,S7402,S7403,S7404,S7405,S7406,S7407,S7408,S7409,S7410,S7411,S7412,S7413,S7414,S7415,S7416,S7417,S7418,L7028,L7032,L7034,L7037,S7028,S7029,S7030,S7031,S7032,S7033,S7035,S7036,S7037,U7027,U7028,U7029,U7030,U7031,U7032,U7033,U7034,U7035,U7036,L7039,L7040,L7041,L7042,L7043,L7045,L7046,L7048,S7039,S7040,S7041,S7042,S7043,S7045,S7046,S7047,S7048,U7039,U7040,U7041,U7042,U7043,U7045,U7046,U7047,U7048,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L7094,L7095,L7096,L7097,L7098,L7099,L7100,L9,S1,S10,S11,S12,S13,S14,S2,S3,S4,S5,S6,S7,S7094,S7095,S7096,S7097,S7098,S7099,S7100,S9,U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U7094,U7095,U7096,U7097,U7098,U7099,U7100,U9
"Cluster_27662,contig_0 consensus mapping",866,885,866,885,1569,1366,1042,1406,0,1,2,0,1770,0,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,3002,0,0,2,0,0,0,1,1287,0,1,0,0,1,0,0,1,2130,0,0,0,5,3,0,0,0,0,0,0,0,3496,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,1,1,0,0,20545,0,0,0,0,0,0,0,28,2,2,7,12,0,620,4,825,2,12,5,41,1255,1584,1,695,3599,3874,2,1,7,20,15,20,1721,5,15,3805,1,4,8,1744,2882,22,0,3,1505,4,5,4,1,1899,84,3288,1202,1263,7,4128,236,41,154,1559,4350,18,2,9000,3203,1820,227,5
"Cluster_1845,contig_0 consensus mapping",487,497,487,497,803,670,503,719,0,2,0,0,0,0,4,2,0,0,0,1942,0,1,0,0,0,2,4,0,0,2,4,1,0,0,1,0,0,1,1,0,0,3,1,0,0,0,2,0,674,0,0,0,0,0,0,0,1501,0,0,0,0,1,0,0,1,4980,1677,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,37501,14,0,0,0,0,0,0,13,8107,0,0,0,0,0,0,17,5229,0,0,0,0,0,0,1,2,2,789,263,876,1763,2,53,1,464,727,279,1,51,2,2,1,1,2735,55434,781,891,794,2,581,2,1,2,4,152,927,2,1,2,540,572,3,0,371,2,20,1187,704,1297,500,1147,0,43,39,868,2715,2,1,49,33,48,0,111
"Cluster_28746,contig_0 consensus mapping",537,547,537,547,882,766,551,850,0,1,151200,0,45,2,0,0,0,0,1,0,0,0,0,0,73,2,0,68,1,0,3,0,1,0,1,0,0,0,1,45,1,0,1,1,0,1,0,4,3,43,0,0,1,0,0,0,0,0,46,0,2,3137,0,0,8,0,2901,1436,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,29,15,1,86,14,14,2,2401,548,2335,19,227,1088,1,0,1,14,18,7,1806,1,1,1,3,0,0,0,8,3,235,0,0,530,5,25911,52,1,2,3,1497,1181,538,789,4,2265,250,1351,364,11,13,23,10985,19,41,1,230
"Cluster_22459,contig_0 consensus mapping",459,434,459,434,824,603,491,688,1141,2,0,1,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,3,206,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,8408,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,5,3,11,0,420,1,5702,1,13,1,57,742,211,2,53,212,2913,0,1,1260,16,3,5,958,7,4,1368,551,5,3,13,1857,873,1,9,307,8,3,0,2717,4,19,1039,209,1116,1,959,1,400,313,1656,2215,1816,403,9087,1405,3,223,583
"Cluster_12519,contig_0 consensus mapping",378,397,378,397,658,497,369,509,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,5,1,9,1,1,4,0,0,1,4,2,0,0,1,0,1,2,4,0,0,0,0,0,4,0,2,2,7,0,0,0,0,0,0,1,0,0,2953,0,0,2,6562,628,1929,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,4816,0,0,0,0,2,0,1,0,3,1,3,0,0,0,0,0,1,1,4,0,2,0,0,0,6,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3773,0,0,0,0,19,0,0,3,0,0,1,2,12,8,6,137,1498,1745,2,25,2,1,506,534,1,15,2,1,0,1,311,53,177,7,1074,3,307,640,2,0,14,840,563,462,5,1,498,3,5,5,3,998,68,149,430,917,6620,1557,2,2578,15,0,249,1382,1480,6608,727,744,589,203
"Cluster_11244,contig_0 consensus mapping",308,273,308,273,417,374,279,409,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16136,4894,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,5,0,0,2,12,0,1453,0,8,1,1,660,76,1,105,565,556,0,0,1832,9,1,1,176,17,2,593,0,8122,2,380,1,309,1,16,264,3,3,2,1174,2,11,373,539,723,0,2,248,411,1,0,441,6,864,4030,176,38,3,235
"Cluster_30336,contig_0 consensus mapping",350,383,350,383,595,463,369,537,3813,0,0,4,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,177,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,3,0,0,0,0,0,0,2,2,2,0,0,0,0,7,0,0,0,0,0,0,0,4395,0,0,0,0,0,0,0,2,0,0,0,0,0,11,7,5,3,7559,611,8,640,3,56789,11511,27,910,2,6,251,498,1,1,0,95,201,18,662,322,24,9,1,0,12172,6,9,2091,1009,2,17,4488,2,4,9,2527,290,30,2708,919,1065,4,886,10,52959,119,263,342,13,3,3926,5,67,23,202
"Cluster_299,contig_0 consensus mapping",291,285,291,285,469,377,344,385,0,0,3,0,2529,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1517,1,0,1,0,0,0,0,0,0,65,1,1,0,0,1942,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,9,0,0,0,0,8,0,0,5728,0,0,0,0,26,0,0,8,0,0,0,0,16620,0,0,10,8,95,3550,838,1147,35668,33,9,96,1634,221,96,45,205,1,21,20,5,11,6,586,726,1,5,423,30630,2,4276,1794,16343,106,18,1,82,883,52,117,0,0,17,58,206,163,1994,4,43727,1174,698,238,2465,90,66,3520,3,50,19,447
"Cluster_23556,contig_0 consensus mapping",310,285,310,285,555,418,288,439,0,0,0,0,0,29574,1,0,0,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,64,0,0,0,0,0,0,0,35,0,0,0,0,0,0,53,0,0,46872,63,0,1,0,0,5,0,0,0,0,613,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1013,43,0,539,9,2,1,93,347,1,1,14,60,32,1,0,518,8,4,4,678,1,120,374,1,0,0,554,167,85,2,1,193,1,2,10,34,114,9,99,17,121,799,607,3944,928,936,414,125,760,807,2204,393,1925,360,73
"Cluster_11,contig_0 consensus mapping",302,284,302,284,543,420,335,436,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2865,0,0,5,2,0,0,0,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1806,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,17899,486,80,1,102,2,1,4,32,88,840,5,159,723,3,4,1,743,11,6,910,184,1,3695,1,1,1,0,17,346,1,0,0,193,154,5,4,511,101,24,377,694,967,4,1422,1265,1222,103,820,520,9,1469,2020,818,1403,80,54
