Sample,Dose,CFU,Genotype
L7027,50000,0,het
L7031,50000,0,het
L7401,500000,0,het
L7409,500000,0,het
L7415,500000,0,het
L7416,500000,0,het
L7418,500000,0,het
L7029,50000,0,ko
L7030,50000,0,ko
L7033,50000,0,ko
L7035,50000,0,ko
L7036,50000,0,ko
L7047,1600000,0,ko
L7403,500000,0,ko
U7037,50000,0,ko
S7027,50000,0,het
S7034,50000,0,het
L7034,50000,1,het
L7404,500000,1,het
L7405,500000,1,het
L7408,500000,1,het
L7028,50000,1,ko
L7032,50000,1,ko
L7037,50000,1,ko
U7036,50000,1,ko
S7033,50000,1,ko
L7412,500000,2,het
L7046,1600000,2,ko
U7027,50000,2,het
U7034,50000,2,het
U7029,50000,2,ko
U7030,50000,2,ko
S7416,500000,2,het
S7418,500000,2,het
S7030,50000,2,ko
L7040,1600000,3,het
L7406,500000,3,ko
U7032,50000,3,ko
S7048,1600000,3,het
L7402,500000,4,het
U7040,1600000,4,het
U7035,50000,4,ko
S7031,50000,4,het
S7412,500000,4,het
S7029,50000,4,ko
L7048,1600000,5,het
L7417,500000,5,het
U7028,50000,5,ko
S7184,5000000,5,het
S7415,500000,5,het
S7037,50000,5,ko
L7169,5000000,6,het
L7194,5000000,6,het
S7036,50000,6,ko
L7182,5000000,7,het
L7041,1600000,7,ko
U7031,50000,7,het
S7045,1600000,7,het
S7404,500000,7,het
S7417,500000,7,het
L7200,5000000,8,het
U7033,50000,8,ko
S7194,5000000,8,het
S7401,500000,8,het
L7410,500000,9,ko
L7039,1600000,10,het
S7189,5000000,10,het
L7180,5000000,11,het
S7180,5000000,11,het
S7035,50000,11,ko
L7181,5000000,12,het
S7039,1600000,12,het
L7195,5000000,13,het
S7402,500000,13,het
L7189,5000000,14,het
L7411,500000,14,ko
L7414,500000,14,ko
S7408,500000,14,het
S7097,20000000,16,het
S7182,5000000,16,het
S7405,500000,16,het
S7409,500000,16,het
S7028,50000,16,ko
S7032,50000,16,ko
L7197,5000000,17,ko
U7045,1600000,18,het
S7169,5000000,18,het
S7200,5000000,18,het
S7042,1600000,19,ko
L7184,5000000,22,het
S7181,5000000,22,het
S7041,1600000,22,ko
S7040,1600000,24,het
S7191,5000000,26,het
U7039,1600000,28,het
S7195,5000000,39,het
S7410,500000,40,ko
S7100,20000000,41,het
S7179,5000000,41,het
S7406,500000,41,ko
U7048,1600000,42,het
U7046,1600000,43,ko
S7199,5000000,45,het
L10,20000000,46,het
L7043,1600000,46,ko
S7096,20000000,47,het
L7170,5000000,53,ko
S5,20000000,56,het
S7190,5000000,58,het
L7100,20000000,61,het
U7047,1600000,67,ko
S7046,1600000,68,ko
S10,20000000,71,het
S7193,5000000,73,het
U10,20000000,74,het
U7043,1600000,74,ko
S7407,500000,74,ko
S7411,500000,75,ko
U7041,1600000,76,ko
L7407,500000,90,ko
S9,20000000,90,het
L6,20000000,91,het
S7403,500000,93,ko
S7413,500000,96,ko
L7413,500000,105,ko
S6,20000000,106,het
L7176,5000000,148,ko
S7043,1600000,168,ko
L7192,5000000,176,ko
S7047,1600000,182,ko
U7042,1600000,205,ko
L7168,5000000,208,ko
S7414,500000,212,ko
S7176,5000000,216,ko
S7198,5000000,236,ko
S7168,5000000,240,ko
S7167,5000000,292,ko
L7042,1600000,296,ko
U7100,20000000,328,het
U1,20000000,328,ko
U5,20000000,352,het
S7183,5000000,376,ko
L2,20000000,380,ko
S7177,5000000,408,ko
S4,20000000,428,het
L7183,5000000,452,ko
L7196,5000000,452,ko
S7192,5000000,456,ko
S7170,5000000,480,ko
S7196,5000000,496,ko
S3,20000000,536,ko
U7095,20000000,552,ko
U7097,20000000,554,het
U2,20000000,572,ko
L7198,5000000,576,ko
U7096,20000000,620,het
S2,20000000,652,ko
S7197,5000000,652,ko
L7167,5000000,732,ko
U4,20000000,788,het
U7098,20000000,812,ko
U7099,20000000,848,ko
U12,20000000,920,ko
S12,20000000,1004,ko
L7177,5000000,1036,ko
L7099,20000000,1076,ko
U3,20000000,1184,ko
S1,20000000,1280,ko
L1,20000000,1400,ko
U6,20000000,1400,het
U7094,20000000,1400,ko
S7095,20000000,1400,ko
S7094,20000000,1500,ko
S7099,20000000,1500,ko
U14,20000000,1600,het
S7,20000000,1800,ko
U7,20000000,1900,ko
S11,20000000,2100,het
U9,20000000,2300,het
U13,20000000,2400,ko
S13,20000000,2400,ko
L13,20000000,2600,ko
S7178,5000000,2800,ko
S7098,20000000,3700,ko
L7095,20000000,4600,ko
L7178,5000000,6000,ko
L7098,20000000,10000,ko
L3,20000000,15000,ko
L7,20000000,25000,ko
U11,20000000,27000,het
S14,20000000,29000,het
L7094,20000000,34000,ko
L9,20000000,130000,het
L4,20000000,160000,het
L7096,20000000,900000,het
L7190,5000000,1100000,het
L7097,20000000,1200000,het
L7045,1600000,1500000,het
L7199,5000000,2200000,het
L7179,5000000,2400000,het
L7193,5000000,2700000,het
L12,20000000,4000000,ko
L11,20000000,4200000,het
L5,20000000,4600000,het
L7191,5000000,11000000,het
L14,20000000,68000000,het
