Tube,CFU
L9597_tlr4ko7,221
L9613_tlr4ko7,2
L9614_tlr4ko7,3
L9615_tlr4ko7,3
L9616_tlr4ko7,498
L9617_tlr4ko7,5
L9618_tlr4ko7,3
L9619_tlr4ko7,10
L9672_tlr4ko7,1
L9673_tlr4ko7,56
L9674_tlr4ko7,7
L9675_tlr4ko7,1
L9676_tlr4ko7,4
L9677_tlr4ko7,3800000
L9678_tlr4ko7,4
L9679_tlr4ko7,3
L9680_tlr4ko7,456
L9681_tlr4ko8,4
L9683_tlr4ko8,11
L9684_tlr4ko8,2
L9685_tlr4ko8,34
L9686_tlr4ko8,1300000
L9687_tlr4ko8,2
L9688_tlr4ko8,1052
L9689_tlr4ko8,1204
L9690_tlr4ko8,720
L9764_tlr4ko9,3
L9765_tlr4ko9,21
L9766_tlr4ko9,107
L9767_tlr4ko9,3
L9768_tlr4ko9,5
L9769_tlr4ko9,171
L9772_tlr4ko9,35
L9773_tlr4ko9,2100000
L9774_tlr4ko9,138
L9775_tlr4ko9,4600000
L9776_tlr4ko9,1100
L9777_tlr4ko9,488
L9778_tlr4ko9,720
L9783_tlr4ko9,3
L9784_tlr4ko9,6
L9785_tlr4ko9,7
L9786_tlr4ko9,560
S9597_tlr4ko7,99
S9613_tlr4ko7,14
S9614_tlr4ko7,2
S9615_tlr4ko7,9
S9616_tlr4ko7,131
S9617_tlr4ko7,1
S9618_tlr4ko7,7
S9619_tlr4ko7,253
S9672_tlr4ko7,4
S9673_tlr4ko7,40
S9674_tlr4ko7,17
S9675_tlr4ko7,25
S9676_tlr4ko7,5
S9677_tlr4ko7,29
S9678_tlr4ko7,3
S9679_tlr4ko7,1
S9680_tlr4ko7,61
S9681_tlr4ko8,12
S9683_tlr4ko8,186
S9684_tlr4ko8,2
S9685_tlr4ko8,98
S9686_tlr4ko8,8
S9687_tlr4ko8,1
S9688_tlr4ko8,136
S9689_tlr4ko8,156
S9690_tlr4ko8,94
S9764_tlr4ko9,38
S9765_tlr4ko9,79
S9766_tlr4ko9,163
S9767_tlr4ko9,10
S9768_tlr4ko9,112
S9769_tlr4ko9,132
S9770_tlr4ko9,12
S9771_tlr4ko9,5
S9772_tlr4ko9,102
S9773_tlr4ko9,87
S9774_tlr4ko9,222
S9775_tlr4ko9,433
S9776_tlr4ko9,1
S9777_tlr4ko9,166
S9778_tlr4ko9,136
S9783_tlr4ko9,4
S9784_tlr4ko9,6
S9785_tlr4ko9,3
S9786_tlr4ko9,194
U9597_tlr4ko7,92
U9613_tlr4ko7,102
U9614_tlr4ko7,29
U9615_tlr4ko7,65
U9616_tlr4ko7,56
U9617_tlr4ko7,25
U9618_tlr4ko7,46
U9619_tlr4ko7,176
U9672_tlr4ko7,60
U9673_tlr4ko7,58
U9674_tlr4ko7,50
U9675_tlr4ko7,52
U9676_tlr4ko7,49
U9677_tlr4ko7,152
U9678_tlr4ko8,43
U9679_tlr4ko8,45
U9680_tlr4ko8,12
U9681_tlr4ko8,202
U9683_tlr4ko8,186
U9684_tlr4ko8,123
U9685_tlr4ko8,98
U9686_tlr4ko8,51
U9687_tlr4ko8,37
U9688_tlr4ko8,38
U9689_tlr4ko8,23
U9690_tlr4ko8,22
U9764_tlr4ko9,188
U9765_tlr4ko9,65
U9766_tlr4ko9,140
U9767_tlr4ko9,75
U9768_tlr4ko9,61
U9769_tlr4ko9,43
U9770_tlr4ko9,61
U9771_tlr4ko9,28
U9772_tlr4ko9,104
U9773_tlr4ko9,160
U9774_tlr4ko9,155
U9775_tlr4ko9,50
U9776_tlr4ko9,41
U9777_tlr4ko9,73
U9778_tlr4ko9,79
U9783_tlr4ko9,42
U9784_tlr4ko9,64
U9785_tlr4ko9,64
U9786_tlr4ko9,108
