,TotalReads,Number of barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU/Ns
L9597_tlr4ko7,279142,39,34,10.01573424,39,103.6512568,221,1.591064607,2.344392274,5.666666667
S9597_tlr4ko7,199223,71,71.76470588,14.76692071,75.29411765,99.08303677,99,1.876761048,1.995635195,1.31484375
U9597_tlr4ko7,282792,92,113.3333333,85.04492148,96.66666667,109.0566679,92,1.985276743,1.963787827,0.951724138
L9613_tlr4ko7,281880,2,2,1.76381501,2,2.022254194,2,0.301029996,0.301029996,1
S9613_tlr4ko7,214001,14,14,12.5443557,14,15.557297,14,1.146128036,1.146128036,1
U9613_tlr4ko7,307068,102,130.5263158,118.3145561,109.3333333,122.8719666,102,2.038752589,2.008600172,0.932926829
L9614_tlr4ko7,262439,3,3,2.777417122,3,3.020446285,3,0.477121255,0.477121255,1
S9614_tlr4ko7,172843,2,2,1.269242683,2,3.016709646,2,0.301029996,0.301029996,1
U9614_tlr4ko7,320231,29,32.63157895,33.53781607,29.47368421,31.09754806,29,1.469434426,1.462397998,0.983928571
L9615_tlr4ko7,174747,3,5,2.395083144,3,4.360580431,3,0.477121255,0.477121255,1
S9615_tlr4ko7,228215,7,7,5.8895178,7,8.550457532,9,0.84509804,0.954242509,1.285714286
U9615_tlr4ko7,297767,65,84.21052632,85.2659959,67.36842105,76.59736033,65,1.828456369,1.812913357,0.96484375
L9616_tlr4ko7,239282,105,97.77777778,12.41272822,111.7647059,206.9137869,498,2.04830468,2.697229343,4.455789474
S9616_tlr4ko7,147754,94,93.33333333,26.73614735,98.88888889,134.8648718,131,1.995147497,2.117271296,1.324719101
U9616_tlr4ko7,214730,56,61.11111111,65.38433287,57,61.13810465,56,1.755874856,1.748188027,0.98245614
L9617_tlr4ko7,201933,5,5,7.68590476,5,5.202290267,5,0.698970004,0.698970004,1
S9617_tlr4ko7,124945,1,1,1.392932231,1,1,1,0,0,1
U9617_tlr4ko7,272621,25,34,32.13275027,25,26.82637831,25,1.397940009,1.397940009,1
L9618_tlr4ko7,174690,3,3,1.516085336,3,3.008654812,3,0.477121255,0.477121255,1
S9618_tlr4ko7,125013,6,6,7.682312485,6,6.068310647,7,0.77815125,0.84509804,1.166666667
U9618_tlr4ko7,252039,46,50.52631579,49.19258942,47.36842105,54.08211906,46,1.675488908,1.662757832,0.971111111
L9619_tlr4ko7,215662,8,8,6.838920123,8,8.966715768,10,0.903089987,1,1.25
S9619_tlr4ko7,188948,169,168.2352941,30.23126518,186.25,312.5618879,253,2.270096281,2.403120521,1.358389262
