Sample,CFU,Genotype,Group
L9613_tlr4ko7,2,het,control
L9618_tlr4ko7,3,het,control
L9672_tlr4ko7,1,het,control
L9674_tlr4ko7,7,het,control
L9675_tlr4ko7,1,het,control
L9677_tlr4ko7,3800000,het,control
L9681_tlr4ko8,4,het,control
L9684_tlr4ko8,2,het,control
L9764_tlr4ko9,3,het,control
L9765_tlr4ko9,21,het,control
L9767_tlr4ko9,3,het,control
L9770,0,het,control
L9771,0,het,control
L9614_tlr4ko7,3,het,spike
L9615_tlr4ko7,3,het,spike
L9617_tlr4ko7,5,het,spike
L9676_tlr4ko7,4,het,spike
L9678_tlr4ko7,4,het,spike
L9679_tlr4ko7,3,het,spike
L9686_tlr4ko8,1300000,het,spike
L9687_tlr4ko8,2,het,spike
L9773_tlr4ko9,2100000,het,spike
L9775_tlr4ko9,4600000,het,spike
L9776_tlr4ko9,1100,het,spike
L9783_tlr4ko9,3,het,spike
L9784_tlr4ko9,6,het,spike
L9785_tlr4ko9,7,het,spike
L9597_tlr4ko7,221,ko,control
L9619_tlr4ko7,10,ko,control
L9683_tlr4ko8,11,ko,control
L9685_tlr4ko8,34,ko,control
L9766_tlr4ko9,107,ko,control
L9768_tlr4ko9,5,ko,control
L9769_tlr4ko9,171,ko,control
L9772_tlr4ko9,35,ko,control
L9774_tlr4ko9,138,ko,control
L9616_tlr4ko7,498,ko,spike
L9673_tlr4ko7,56,ko,spike
L9680_tlr4ko7,456,ko,spike
L9688_tlr4ko8,1052,ko,spike
L9689_tlr4ko8,1204,ko,spike
L9690_tlr4ko8,720,ko,spike
L9777_tlr4ko9,488,ko,spike
L9778_tlr4ko9,720,ko,spike
L9786_tlr4ko9,560,ko,spike
S9613_tlr4ko7,14,het,control
S9618_tlr4ko7,7,het,control
S9672_tlr4ko7,4,het,control
S9674_tlr4ko7,17,het,control
S9675_tlr4ko7,25,het,control
S9677_tlr4ko7,29,het,control
S9681_tlr4ko8,12,het,control
S9684_tlr4ko8,2,het,control
S9764_tlr4ko9,38,het,control
S9765_tlr4ko9,79,het,control
S9767_tlr4ko9,10,het,control
S9770_tlr4ko9,12,het,control
S9771_tlr4ko9,5,het,control
S9614_tlr4ko7,2,het,spike
S9615_tlr4ko7,9,het,spike
S9617_tlr4ko7,1,het,spike
S9676_tlr4ko7,5,het,spike
S9678_tlr4ko7,3,het,spike
S9679_tlr4ko7,1,het,spike
S9686_tlr4ko8,8,het,spike
S9687_tlr4ko8,1,het,spike
S9773_tlr4ko9,87,het,spike
S9775_tlr4ko9,433,het,spike
S9776_tlr4ko9,1,het,spike
S9783_tlr4ko9,4,het,spike
S9784_tlr4ko9,6,het,spike
S9785_tlr4ko9,3,het,spike
S9597_tlr4ko7,99,ko,control
S9619_tlr4ko7,253,ko,control
S9683_tlr4ko8,186,ko,control
S9685_tlr4ko8,98,ko,control
S9766_tlr4ko9,163,ko,control
S9768_tlr4ko9,112,ko,control
S9769_tlr4ko9,132,ko,control
S9772_tlr4ko9,102,ko,control
S9774_tlr4ko9,222,ko,control
S9616_tlr4ko7,131,ko,spike
S9673_tlr4ko7,40,ko,spike
S9680_tlr4ko7,61,ko,spike
S9688_tlr4ko8,136,ko,spike
S9689_tlr4ko8,156,ko,spike
S9690_tlr4ko8,94,ko,spike
S9777_tlr4ko9,166,ko,spike
S9778_tlr4ko9,136,ko,spike
S9786_tlr4ko9,194,ko,spike
U9613_tlr4ko7,102,het,control
U9618_tlr4ko7,46,het,control
U9672_tlr4ko7,60,het,control
U9674_tlr4ko7,50,het,control
U9675_tlr4ko7,52,het,control
U9677_tlr4ko7,152,het,control
U9681_tlr4ko8,202,het,control
U9684_tlr4ko8,123,het,control
U9764_tlr4ko9,188,het,control
U9765_tlr4ko9,65,het,control
U9767_tlr4ko9,75,het,control
U9770_tlr4ko9,61,het,control
U9771_tlr4ko9,28,het,control
U9614_tlr4ko7,29,het,spike
U9615_tlr4ko7,65,het,spike
U9617_tlr4ko7,25,het,spike
U9676_tlr4ko7,49,het,spike
U9678_tlr4ko8,43,het,spike
U9679_tlr4ko8,45,het,spike
U9686_tlr4ko8,51,het,spike
U9687_tlr4ko8,37,het,spike
U9773_tlr4ko9,160,het,spike
U9775_tlr4ko9,50,het,spike
U9776_tlr4ko9,41,het,spike
U9783_tlr4ko9,42,het,spike
U9784_tlr4ko9,64,het,spike
U9785_tlr4ko9,64,het,spike
U9597_tlr4ko7,92,ko,control
U9619_tlr4ko7,176,ko,control
U9683_tlr4ko8,186,ko,control
U9685_tlr4ko8,98,ko,control
U9766_tlr4ko9,140,ko,control
U9768_tlr4ko9,61,ko,control
U9769_tlr4ko9,43,ko,control
U9772_tlr4ko9,104,ko,control
U9774_tlr4ko9,155,ko,control
U9616_tlr4ko7,56,ko,spike
U9673_tlr4ko7,58,ko,spike
U9680_tlr4ko8,12,ko,spike
U9688_tlr4ko8,38,ko,spike
U9689_tlr4ko8,23,ko,spike
U9690_tlr4ko8,22,ko,spike
U9777_tlr4ko9,73,ko,spike
U9778_tlr4ko9,79,ko,spike
U9786_tlr4ko9,108,ko,spike
