Tube,CFU
s1,7
s2,11
s3,21
s4,15
s5,592
s6,472
s7,264
s8,952
j1,0
j2,5
j3,1
j4,0
j5,6091740
j6,6
j7,37
j8,16
u1,51
u2,29
u3,168
u4,78
u5,2685.6
u6,204
u7,260
u8,528
l1,5892.24
l2,30701.4
l3,280
l4,130
l5,178063.2
l6,836
l7,1520
l8,1240
s13,20
s14,10
s15,22
s16,6
s17,348
s18,104
s19,196
s20,584
j13,0
j14,0
j15,0
j16,0
j17,6
j18,1
j19,5
j20,9
u13,116
u14,56
u15,144
u16,88
u17,60
u18,76
u19,108
u20,324
l13,57
l14,27
l15,31
l16,38
l17,392
l18,228
l19,508
l20,892
