Tube,CFU
a1,63
b1,0
e1,154725
f1,62646
j1,1836.16
k1,2018.16
n1,4477.62
o1,3278.25
v1,125784
w1,781020
x1,1125900
y1,695464
a2,42
b2,0
e2,145208
f2,124812
j2,1440
k2,789.18
n2,7538.3
o2,2881.71
v2,253488
w2,882280
x2,779121
y2,1006400
a3,163
b3,0
e3,146496
f3,198873
j3,2708.88
k3,2276.4
n3,5380.5
o3,8428
v3,180506
w3,1253300
x3,1350800
y3,1019360
a4,127
b4,0
e4,176239
f4,251256
j4,1708.2
k4,567.55
n4,3447.68
o4,2962.12
v4,63282
w4,672408
x4,1247100
y4,728654
a5,15
b5,0
e5,12597.6
f5,7317.1
j5,112
k5,157
n5,596
o5,290
v5,35890.8
w5,412672
x5,120735
y5,631680
a6,3
b6,0
e6,10325
f6,9314.1
j6,216
k6,206
n6,490
o6,378
v6,8398.4
w6,123120
x6,53354.4
y6,46005.8
a7,71
b7,0
e7,11449.9
f7,17787.1
j7,137
k7,156
n7,466
o7,234
v7,38786.4
w7,6504500
x7,485773
y7,627400
a8,22
b8,0
e8,6212.4
f8,14644
j8,243
k8,325
n8,818
o8,438
v8,19056.6
w8,123950
x8,87727.5
y8,89033
a9,5
b9,0
e9,172
f9,284
j9,15
k9,5
n9,224
o9,198
v9,3736.25
w9,17229.8
x9,15363.6
y9,16471
a10,0
b10,0
e10,194
f10,224
j10,10
k10,49
n10,440
o10,256
v10,3636.3
w10,20430.4
x10,8859.2
y10,21464.2
a11,0
b11,0
e11,79
f11,124
j11,4
k11,3
n11,454
o11,306
v11,1724.64
w11,5629.05
x11,5927.56
y11,11414.7
a12,0
b12,0
e12,343
f12,406
j12,10
k12,18
n12,1092
o12,776
v12,3412.16
w12,14758.8
x12,12860
y12,9898.4
a13,9
b13,0
e13,184
f13,212
j13,69
k13,2
n13,536
o13,544
v13,732
w13,13330000
x13,3162.72
y13,3941440
a14,0
b14,0
e14,63
f14,96
j14,1
k14,0
n14,372
o14,172
v14,216
w14,1387.98
x14,1467.4
y14,1820.7
a15,0
b15,0
e15,58
f15,48
j15,18123.2
k15,0
n15,240
o15,220
v15,540
w15,2186.71
x15,1996.05
y15,2892.02
a16,0
b16,0
e16,42
f16,41
j16,0
k16,0
n16,106
o16,100
v16,136
w16,934.99
x16,771.12
y16,1188.27
a17,0
b17,80000
e17,75
f17,63
j17,84
k17,9
n17,15299.2
o17,112
v17,35
w17,3753470
x17,1327.7
y17,3215.76
a18,0
b18,0
e18,10
f18,9
j18,0
k18,0
n18,88
o18,62
v18,35
w18,228
x18,284
y18,164
a19,0
b19,0
e19,15
f19,18
j19,0
k19,1
n19,130
o19,132
v19,34
w19,68
x19,81
y19,86
a20,1
b20,1400000
e20,2805.14
f20,532
j20,1631.7
k20,384
n20,5080.23
o20,5292
v20,1512
w20,23515200
x20,1880.2
y20,26284
a21,0
b21,0
e21,9
f21,6
j21,0
k21,0
n21,60
o21,92
v21,1
w21,28
x21,28
y21,26
a22,0
b22,0
e22,23
f22,18
j22,0
k22,0
n22,54
o22,62
v22,1
w22,27
x22,20
y22,44
a23,17
b23,0
e23,227913
f23,8819.2
j23,736
k23,212
n23,296
o23,78
v23,747.39
w23,88536
x23,388
y23,2916980
a24,0
b24,0
e24,23
f24,47
j24,58
k24,0
n24,172
o24,187
v24,15
w24,3642690
x24,314904
y24,1489920
a31,5
b31,500000
e31,12
f31,16
j31,48
k31,21
n31,118
o31,110
v31,112
w31,150
x31,144
y31,640
a32,2
b32,0
e32,15
f32,88
j32,9
k32,7
n32,236
o32,444
v32,21
w32,4042800
x32,132
y32,2227.68
a33,0
b33,0
e33,14
f33,27
j33,0
k33,1
n33,166
o33,110
v33,248
w33,3063830
x33,80
y33,1605120
a34,0
b34,0
e34,69
f34,71
j34,0
k34,1
n34,228
o34,336
v34,64
w34,204
x34,796
y34,324
a51,0
b51,0
e51,19
f51,10
j51,0
k51,0
n51,39
o51,59
v51,2
w51,17
x51,11
y51,17
a52,0
b52,0
e52,7
f52,5
j52,2
k52,0
n52,59
o52,60
v52,6
w52,22
x52,54
y52,243504
a53,1400
b53,0
e53,38
f53,55
j53,1471.34
k53,916.96
n53,8656.8
o53,5297
v53,376
w53,1498.32
x53,3201.6
y53,3259.1
a54,12
b54,0
e54,140
f54,110
j54,2
k54,3
n54,272
o54,176
v54,88
w54,588
x54,920.57
y54,696
