barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_27662,contig_0 consensus mapping",5749,2769,3298,2986,2041,0,0,67,0,0,109003,0,7,1,53,0,4,0,82,0,94,0,0,0,0,0,3,0,0,0,0,2,0,34,0,0,0,0,0,7,0,2,0,36,0,0,0,0,0
"Cluster_1845,contig_0 consensus mapping",2788,1082,1640,1593,1261,9,0,0,7,0,0,0,10,0,0,0,3,0,0,0,0,0,8885,0,0,6,1,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,0,2,0,3,0,0,0
"Cluster_28746,contig_0 consensus mapping",2651,1186,1567,1445,1042,0,0,0,0,0,0,0,1,4177,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Cluster_22459,contig_0 consensus mapping",2258,1014,1366,1324,996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Cluster_12519,contig_0 consensus mapping",2160,1049,1370,1201,897,0,0,9,0,0,12187,11,1,1,10,0,1,0,10,20,8,13,1,7138,0,0,2,0,6,0,0,1,0,4,14189,0,2,0,0,1,0,4,0,6,6,0,2,0,10
"Cluster_11244,contig_0 consensus mapping",2886,1255,1741,1703,1281,0,0,0,0,0,0,39,0,0,0,5615,33,0,0,52877,0,32,0,0,0,6,27,0,44,0,2,12,0,0,16,0,0,0,1,29000,3,15,0,0,21,0,0,0,23
"Cluster_30336,contig_0 consensus mapping",1737,808,1057,972,751,5,0,0,3,0,0,0,1,0,0,15,2,0,0,0,0,0,0,0,0,22,3,0,3,0,21409,0,0,0,0,2043,0,0,11,1,18,1,0,0,0,0,0,0,0
"Cluster_299,contig_0 consensus mapping",2157,1001,1315,1280,892,0,0,0,0,0,0,5438,0,0,0,4309,4,510,0,3,0,4,0,0,0,2,0,0,1,0,1,3,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,3
"Cluster_23556,contig_0 consensus mapping",2467,1038,1414,1247,1033,0,30,5,0,34,10,7,0,49,0,1,0,37,1,8632,9064,3,1,0,3,0,1,58433,3,0,0,2,11,2,2,0,0,0,0,2,0,1,14,4,4,0,0,0,6
"Cluster_11,contig_0 consensus mapping",1847,880,1079,987,749,10,0,0,9,0,0,27,118,0,40,0,5,0,0,33,0,37,12156,0,48,0,98,0,0,57,0,7265,0,0,5,6,0,31,0,8,0,6,0,13,23112,4,0,50027,8510
