barcode,inoc21p10_1,inoc21p10_2,inoc21p10_3,inoc21p10_4,mix12in_p12,j1,j2,j3,j4,s1,s2,s3,s4,u1,u2,u3,u4,v1,v2,v3,v4,w1,w2,w3,w4,x1,x2,x3,x4,y1,y2,y3,y4,j11,j12,j13,j14,j5,j6,j7,j8,j9,s10,s11,s12,s13,s14,s15,s16,s5,s6,s7,s8,s9,u10,u11,u12,u13,u14,u15,u16,u5,u6,u7,u8,u9,v10,v11,v12,v13,v14,v15,v16,v5,v6,v7,v8,v9,w10,w11,w12,w13,w14,w15,w16,w5,w6,w7,w8,w9,x10,x11,x12,x13,x14,x15,x16,x5,x6,x7,x8,x9,y10,y11,y12,y13,y14,y15,y16,y5,y6,y7,y8,y9
201_A mapping,18921,15798,13798,19262,15758,1883,8,2085,6296,10301,10684,10071,9599,11255,7238,15763,3761,6297,4129,4995,4007,5188,6028,4888,10919,5154,3837,88,8332,114,2783,411,6439,11,25,49,4,5444,10831,3738,8,15,24,5261,22189,5,2,7,9786,5268,3472,2621,3645,7729,7007,4475,4688,6886,9973,4474,5299,6840,5820,7054,4407,3743,4,4,15,15,21,3,10,96989,4129,4405,3801,4,2,13,37,40,5,4441,6,968,3823,2510,3916,1341,3885,8,12397,9,27,24,5,4722,3458,3462,2897,11,32,1713,7,24,5,13,29,2905,4396,2613,3613,4
201_B mapping,29083,25227,22435,29604,22460,2540,15000,46292,39,32818,8479,15289,33993,30219,26174,28613,100063,3227,12459,2835,48496,7123,5811,42,29686,9898,9349,157,24156,147,4902,578,17821,52,30,46,1,2636,65672,443,1889,14,11,597,32,7,12,8,25834,8229,6375,4946,4082,4754,14125,3046,10753,7022,8398,4478,15820,18500,13049,13714,3829,5034,15,21,23,46,27,3,14,627,8318,7809,6198,3,20,13,32,34,24338,76,9,1310,5593,4300,5843,28,3655,9,8838,25,6235,42,6458,7767,4645,6058,6338,6974,19263,216,13,33,14053,94,33,5027,6510,4575,6656,30699
201_C mapping,37323,32820,29486,37581,27584,95,24020,83954,19957,22583,8938,21800,17407,42135,14365,27857,216555,8917,13579,7349,60459,11226,5805,20035,25945,9665,10827,211,24332,201,10392,522,16191,25,120,72,10,1249,7471,6760,2622,15,1555,68,60,2109,12099,68,49,9105,7760,7506,6155,25,12133,13248,4161,8211,12387,7724,13228,13725,14609,34400,9696,7628,8,49,30,22,68652,6,22,623,6770,5290,8070,3,12,19,58523,32,11114,18017,31,1762,8810,4960,5349,49,8,4857,14812,86,17747,112,6851,8329,8430,4195,8051,36,47861,14,30,37,42,22,35995,5037,8064,6239,7485,12
202_A mapping,8268,7014,6329,8689,7329,2961,2008,342,14558,11652,14578,14447,12927,19166,17938,13751,8969,9974,6495,13588,41642,8120,7124,7147,12745,10892,8337,88,9453,10228,4617,461,6944,25,21,67,8,1074,19245,3227,1324,9,7178,4505,26669,2560,15,11734,14699,10247,5081,4328,7977,5394,15644,6720,13004,5119,9791,5308,10323,8149,11411,9582,6225,6743,4,23,31,5240,16,4,45,377,4785,6520,8040,9,9,22,3196,36,23,12308,11,1446,6311,4406,5081,38,7620,13,18,29,20409,20063,7940,4279,6681,5299,5604,21,6713,190,17,22,12180,45,18458,3034,4937,4441,5716,10881
202_B mapping,15897,14080,11506,17288,14401,38508,5204,58273,23337,31356,25369,15129,10511,21545,37576,25319,5298,14668,13450,7706,8810,11817,13505,8210,15204,16301,13782,30979,13847,266,8785,477,14060,73,52,85,18,2997,22246,7133,9751,32,4451,2420,23047,6632,8374,7170,27169,12020,5885,7628,8971,16813,12392,20143,12111,14054,15101,10057,15005,13594,19768,11490,11194,3832,6,29,92527,8352,31,11,21875,38692,6743,7678,9941,18164,13156,30,6170,187,5217,19370,10423,7737,8488,8223,8739,2569,4696,33,8697,41,10991,5644,10712,7463,7087,8591,10383,24,5011,282,41,15095,13378,222,23085,5435,8265,7853,9353,119159
202_C mapping,19205,16630,14584,19809,15331,6359,29488,34931,14377,57462,27718,25694,36546,29722,35097,30519,65222,16694,17993,21750,95943,22834,18380,7573,39537,20568,20846,270,28111,12512,16938,35273,22196,150,97,67,76,25211,13364,28507,3371,37,4064,69,54,12648,9526,49,46603,15972,13328,12306,14773,3247,26327,14775,24142,44309,28156,15897,22184,12847,25635,22750,14884,9338,41,42,36,37199,54,42970,99,12090,18204,10566,12785,23,6692,61,27579,58,9757,324,58,2612,12423,11588,11768,29,4132,29,146,20602,7450,100,6698,9647,9497,10438,15525,6817,6178,529,54,97272,11278,109,31,7324,8732,10225,14999,2701
204_A mapping,16406,13981,11840,16704,14104,5130,6,1079,5495,564,1172,1244,6702,8250,4679,15680,12928,187,89,794,22377,214,107,2,3443,617,353,0,2329,5,227,22,1809,5,9,17,9,6,6,8,3,2,1,9,6304,7311,6,8904,5,548,303,664,1113,2440,7796,6217,3491,2556,8201,2354,10759,3299,1665,3468,2501,2941,2,2,1,3,6,2,7,18,474,173,227,9,4,3,2,2,6,12,15298,24,367,119,322,5,6615,6,7,5,2,13,3,111,269,76,156,3,9,10,7,9,8,10,5,99,356,144,336,4
204_B mapping,8841,7397,6261,8795,8142,0,1,2395,1633,812,981,866,10972,4674,1729,2007,1023,2,1,1,679,111,73,1240,1360,344,65,4,1446,3,20,1,972,0,14,5,2,7,71,1,6,0,2349,5,3,1,7304,1,2,223,250,400,576,3851,2536,1,1680,2582,5967,1007,2746,1268,410,1228,1026,733,0,3,0,3,4,2,0,5,54,477,113,8107,7586,0,1,1,0,7,16,2,95,54,110,2,2,5,1,5,0,13,3,41,109,194,129,6,0,0,6,1,2,1,6,47,241,73,93,10
204_D mapping,10192,8691,7375,10504,8987,2,0,1315,0,356,217,496,339,2049,1782,5543,92,1043,31,0,0,78,33,0,81,108,116,8,179,4,52,4,28,4,12,6,0,9,8,510,0,6,3633,5,6975,0,2,5,23955,246,179,504,710,1,3843,5448,4754,2021,3168,941,6131,902,970,1571,843,2300,5,1,3,7,7,1,35291,6,15,32,128,0,1,3,0,10,5,11,2,19,194,53,60,5,0,0,5,0,6,12,2,101,121,22,51,4,9213,3,4,12,1,6,11,48,136,73,121,2
210_A mapping,14980,13180,12801,15106,9773,23,15184,3347,9057,16864,6184,7096,21350,28182,30215,27462,5255,2367,2604,1521,1772,17945,2051,22288,3717,2164,2487,30,4483,49,2024,105,5303,2852,94,59566,9,7043,4771,5023,1217,26,15026,20840,7843,2861,41,57,807,8176,5879,7825,9765,4957,18529,22417,29264,23163,20074,23221,21335,10113,14174,13394,8671,14932,46061,13,26,12858,32841,2,79,6811,3970,2559,3005,6,18,23749,14957,25,11581,20203,39,708,4217,2010,4538,37,1435,12402,10219,39,11286,14939,9,2420,4041,3111,3839,34,11703,1996,55,42,15,54,43,1555,3299,2318,3696,17
