Tube,CFU,BioSample_ID
s5_ch06, - ,Undiluted gmhB Library A
s6_ch06, - ,Undiluted gmhB Library B
s7_ch06,10,Low Dilution gmhB Library A
s8_ch06,10,Low Dilution gmhB Library B
s15_ch06,23333333.33,gmhB 06.26 Input A
s16_ch06,23333333.33,gmhB 06.26 Input B
s21_ch06,24666666.67,gmhB 06.27 Input A
s22_ch06,24666666.67,gmhB 06.27 Input B
s29_ch06,7133333.333,gmhB_Lung_181
s30_ch06,51333333.33,gmhB_Lung_182
s76_ch07,34666666.67,gmhB_Lung_193
s77_ch07,48666666.67,gmhB_Lung_194
s78_ch07,98666666.67,gmhB_Lung_195
s41_ch06,30,gmhB_Spleen_181
s42_ch06,466.6666667,gmhB_Spleen_182
s87_ch07,2200,gmhB_Spleen_194
s88_ch07,9733.333333,gmhB_Spleen_195
s64_ch06,110666.6667,gmhB_Liver_181
s65_ch07,33333.33333,gmhB_Liver_182
s106_ch07,400000,gmhB_Liver_193
s107_ch07,1600,gmhB_Liver_194
s108_ch07,7600,gmhB_Liver_195
s52_ch06,3.333333333,gmhB_Blood_181
s53_ch06,3866.666667,gmhB_Blood_182
s96_ch07,95,gmhB_Blood_193
s97_ch07,6466.666667,gmhB_Blood_194
s98_ch07,81333.33333,gmhB_Blood_195
