"","s33_ch08","s38_ch08","s48_ch08","s34_ch08","s39_ch08","s44_ch08","s49_ch09","s35_ch08","s40_ch08","s45_ch08","s50_ch09","s36_ch08","s41_ch08","s46_ch08","s51_ch09","s37_ch08","s42_ch08","s47_ch08","s52_ch09","s53_ch09","s62_ch09","s71_ch09","s80_ch09","s54_ch09","s63_ch09","s72_ch09","s81_ch09","s55_ch09","s64_ch09","s73_ch09","s82_ch09","s56_ch09","s65_ch09","s74_ch09","s83_ch09","s57_ch09","s66_ch09","s75_ch09","s84_ch09","s58_ch09","s67_ch09","s76_ch09","s85_ch09","s59_ch09","s68_ch09","s77_ch09","s86_ch09","s60_ch09","s69_ch09","s78_ch09","s87_ch09","s61_ch09","s70_ch09","s79_ch09","s88_ch09"
"s33_ch08",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s38_ch08",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s48_ch08",0,0.783091851446946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s34_ch08",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s39_ch08",0,0,0,0,1,0.816753039609543,0.872004115779221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s44_ch08",0,0,0,0,0.98586029846316,1,0.969487701105423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s49_ch09",0,0,0,0,0.983412347489785,0.905805196849335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s35_ch08",0,0,0,0,0,0,0,1,0.493981038821965,0.339903896242807,0.366725791342085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s40_ch08",0,0,0,0,0,0,0,0.187142579575714,1,0.204642536824285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s45_ch08",0,0,0,0,0,0,0,0.267740501616359,0.425492107106726,1,0.462756426319518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s50_ch09",0,0,0,0,0,0,0,0.127744684070469,0.919473145928692,0.204642536824285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s36_ch08",0,0,0,0,0,0,0,0,0,0,0,1,0.799872999994826,0.715408937169826,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s41_ch08",0,0,0,0,0,0,0,0,0,0,0,0.419489385166213,1,0.971438341380246,0.946394630357186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s46_ch08",0,0,0,0,0,0,0,0,0,0,0,0.296188975933925,0.766884271905664,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s51_ch09",0,0,0,0,0,0,0,0,0,0,0,0.123300409232289,0.445007000116085,0.595634691962031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s37_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53032901955614,0.336210256877745,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s42_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246754559684071,1,0.421926095651083,0.861654166907052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s47_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288051096752098,0.776917970918045,1,0.861654166907052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s52_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778423967670522,0.432464688588244,0.234861522571535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s53_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.602090074602902,0.792508765337218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s62_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32323825939102,1,0.734361135573556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s71_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32323825939102,0.557913767319425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s80_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167948778957042,0.221064729457504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s54_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.724526775162254,0.745724532272885,0.678939198902993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s63_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315343894318834,1,0.953739129949394,0.832579327731599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s72_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34031321680451,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s81_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245385245665048,0.691374248086811,0.79198540232349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s55_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.829800753682565,0.609853334511962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s64_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366023907292151,1,0.908618106128052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s73_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229670325279351,0.775756175782425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
