"","s13_ch08","s18_ch08","s23_ch08","s28_ch08","s14_ch08","s19_ch08","s24_ch08","s29_ch08","s15_ch08","s20_ch08","s25_ch08","s30_ch08","s16_ch08","s21_ch08","s26_ch08","s31_ch08","s17_ch08","s22_ch08","s27_ch08","s32_ch08"
"s13_ch08",1,0.537709934596375,0.256383502334256,0.48129742121661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s18_ch08",0.174161264281719,1,0.365302584749553,0.764532094349096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s23_ch08",0.18914490340833,0.832058390706038,1,0.652739021790523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s28_ch08",0.18914490340833,0.927626874016743,0.347709148521644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s14_ch08",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s19_ch08",0,0,0,0,0,1,0,0.682606194485985,0,0,0,0,0,0,0,0,0,0,0,0
"s24_ch08",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"s29_ch08",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s15_ch08",0,0,0,0,0,0,0,0,1,0.719612276340233,0.28460076491754,0.339190923894052,0,0,0,0,0,0,0,0
"s20_ch08",0,0,0,0,0,0,0,0,0.234644174531681,1,0.336766566057517,0.463067651527008,0,0,0,0,0,0,0,0
"s25_ch08",0,0,0,0,0,0,0,0,0.190415522236319,0.691009536168288,1,0.80225857542106,0,0,0,0,0,0,0,0
"s30_ch08",0,0,0,0,0,0,0,0,0.157490293553302,0.659390673839731,0.556746701227439,1,0,0,0,0,0,0,0,0
"s16_ch08",0,0,0,0,0,0,0,0,0,0,0,0,1,0.754627795686711,0.0874019828219305,0,0,0,0,0
"s21_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0.321536705360923,1,0.225930848083365,1,0,0,0,0
"s26_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0.0684056651380868,0.415000440559519,1,0.861353116146786,0,0,0,0
"s31_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0.372771822437251,0.174803965643861,1,0,0,0,0
"s17_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.319923233037446
"s22_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.343059691670231,0.913076848927645
"s27_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546263701409815,1,0.468679065062329
"s32_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112628612468284,0.823685899224109,0.265519978770835,1
