,,tatC_Lung_183,tatC_Spleen_183,tatC_Liver_183,tatC_Blood_183,tatC_Lung_184,tatC_Spleen_184,tatC_Liver_184,tatC_Blood_184,tatC_Lung_185,tatC_Liver_185,tatC_Blood_185,tatC_Lung_186,tatC_Spleen_186,tatC_Liver_186,tatC_Blood_186,tatC_Lung_197,tatC_Spleen_197,tatC_Liver_197,tatC_Blood_197,tatC_Lung_198,tatC_Spleen_198,tatC_Liver_198,tatC_Blood_198
,,s31_ch06,s43_ch06,s66_ch07,s54_ch06,s32_ch06,s44_ch06,s67_ch07,s55_ch06,s33_ch06,s68_ch07,s56_ch06,s34_ch06,s46_ch06,s69_ch07,s57_ch06,s79_ch07,s89_ch07,s109_ch07,s99_ch07,s80_ch07,s90_ch07,s110_ch07,s100_ch07
tatC_Lung_183,s31_ch06,1,0,0.695654476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Spleen_183,s43_ch06,0,1,0,0.682606194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Liver_183,s66_ch07,0.660381768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Blood_183,s54_ch06,0,0.682606194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Lung_184,s32_ch06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Spleen_184,s44_ch06,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Liver_184,s67_ch07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Blood_184,s55_ch06,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Lung_185,s33_ch06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Liver_185,s68_ch07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Blood_185,s56_ch06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tatC_Lung_186,s34_ch06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tatC_Spleen_186,s46_ch06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.629894528,0.980687472,0,0,0,0,0,0,0,0
tatC_Liver_186,s69_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0.85708251,1,0.896632697,0,0,0,0,0,0,0,0
tatC_Blood_186,s57_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0.927647569,0.623321573,1,0,0,0,0,0,0,0,0
tatC_Lung_197,s79_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.691645627,0,0,0,0,0
tatC_Spleen_197,s89_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tatC_Liver_197,s109_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654182092,0,1,0,0,0,0,0
tatC_Blood_197,s99_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tatC_Lung_198,s80_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.55824952,0.290318599,0.356207187
tatC_Spleen_198,s90_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351149212,1,0.112310565,0.356207187
tatC_Liver_198,s110_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222071143,0.136576048,1,0.827087475
tatC_Blood_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085908845,0.136576048,0.260777056,1,
