"","ch9_ch03","ch10_ch03","ch11_ch03","ch12_ch03","ch13_ch03","ch14_ch03","ch15_ch03","ch16_ch03","ch17_ch03","ch18_ch03","ch19_ch03","ch20_ch03","ch41_ch03","ch42_ch03","ch43_ch03","ch44_ch03","ch45_ch03","ch46_ch03","ch47_ch03","ch48_ch03","ch49_ch03","ch50_ch03","ch51_ch03","ch52_ch03","ch21_ch03","ch22_ch03","ch23_ch03","ch24_ch03","ch25_ch03","ch26_ch03","ch27_ch03","ch28_ch03","ch29_ch03","ch30_ch03","ch31_ch03","ch32_ch03","ch33_ch03","ch34_ch03","ch35_ch03","ch36_ch03","ch37_ch03","ch38_ch03","ch39_ch03","ch40_ch03","ch53_ch03","ch54_ch03","ch55_ch03","ch56_ch03","ch57_ch03","ch58_ch03","ch59_ch03","ch60_ch03","ch61_ch03","ch62_ch03","ch63_ch03","ch64_ch03"
"ch9_ch03",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch10_ch03",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch11_ch03",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch12_ch03",0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch13_ch03",0,0,0,0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch14_ch03",0,0,0,0,0,34,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch15_ch03",0,0,0,0,0,31,51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch16_ch03",0,0,0,0,0,16,18,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch17_ch03",0,0,0,0,0,0,0,0,4269,6,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch18_ch03",0,0,0,0,0,0,0,0,6,47,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch19_ch03",0,0,0,0,0,0,0,0,28,42,123,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch20_ch03",0,0,0,0,0,0,0,0,3,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ch41_ch03",0,0,0,0,0,0,0,0,0,0,0,0,2296,31,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
