"","s33_ch08","s38_ch08","s48_ch08","s34_ch08","s39_ch08","s44_ch08","s49_ch09","s35_ch08","s40_ch08","s45_ch08","s50_ch09","s36_ch08","s41_ch08","s46_ch08","s51_ch09","s37_ch08","s42_ch08","s47_ch08","s52_ch09","s53_ch09","s62_ch09","s71_ch09","s80_ch09","s54_ch09","s63_ch09","s72_ch09","s81_ch09","s55_ch09","s64_ch09","s73_ch09","s82_ch09","s56_ch09","s65_ch09","s74_ch09","s83_ch09","s57_ch09","s66_ch09","s75_ch09","s84_ch09","s58_ch09","s67_ch09","s76_ch09","s85_ch09","s59_ch09","s68_ch09","s77_ch09","s86_ch09","s60_ch09","s69_ch09","s78_ch09","s87_ch09","s61_ch09","s70_ch09","s79_ch09","s88_ch09"
"s33_ch08",5676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s38_ch08",0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s48_ch08",0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s34_ch08",0,0,0,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s39_ch08",0,0,0,0,95,89,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s44_ch08",0,0,0,0,89,246,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s49_ch09",0,0,0,0,88,146,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s35_ch08",0,0,0,0,0,0,0,5431,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s40_ch08",0,0,0,0,0,0,0,4,25,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s45_ch08",0,0,0,0,0,0,0,9,3,874,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s50_ch09",0,0,0,0,0,0,0,2,19,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s36_ch08",0,0,0,0,0,0,0,0,0,0,0,7405,41,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s41_ch08",0,0,0,0,0,0,0,0,0,0,0,41,106,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s46_ch08",0,0,0,0,0,0,0,0,0,0,0,13,35,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s51_ch09",0,0,0,0,0,0,0,0,0,0,0,2,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s37_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7364,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s42_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s47_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,2056,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s52_ch09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
