"","s13_ch08","s18_ch08","s23_ch08","s28_ch08","s14_ch08","s19_ch08","s24_ch08","s29_ch08","s15_ch08","s20_ch08","s25_ch08","s30_ch08","s16_ch08","s21_ch08","s26_ch08","s31_ch08","s17_ch08","s22_ch08","s27_ch08","s32_ch08"
"s13_ch08",29375,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s18_ch08",5,27,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s23_ch08",6,15,1977,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s28_ch08",6,21,13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s14_ch08",0,0,0,0,8004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s19_ch08",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"s24_ch08",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"s29_ch08",0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"s15_ch08",0,0,0,0,0,0,0,0,27426,10,6,4,0,0,0,0,0,0,0,0
"s20_ch08",0,0,0,0,0,0,0,0,10,27,9,8,0,0,0,0,0,0,0,0
"s25_ch08",0,0,0,0,0,0,0,0,6,9,931,44,0,0,0,0,0,0,0,0
"s30_ch08",0,0,0,0,0,0,0,0,4,8,44,114,0,0,0,0,0,0,0,0
"s16_ch08",0,0,0,0,0,0,0,0,0,0,0,0,25156,25,1,0,0,0,0,0
"s21_ch08",0,0,0,0,0,0,0,0,0,0,0,0,25,74,5,4,0,0,0,0
"s26_ch08",0,0,0,0,0,0,0,0,0,0,0,0,1,5,2780,3,0,0,0,0
"s31_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0
"s17_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17227,0,0,2
"s22_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,22
"s27_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,428,4
"s32_ch08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,4,30
