"","s29_ch06","s41_ch06","s64_ch06","s52_ch06","s30_ch06","s42_ch06","s65_ch07","s53_ch06","s76_ch07","s106_ch07","s96_ch07","s77_ch07","s87_ch07","s107_ch07","s97_ch07","s78_ch07","s88_ch07","s108_ch07","s98_ch07"
"s29_ch06",2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s41_ch06",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s64_ch06",0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s52_ch06",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s30_ch06",0,0,0,0,13709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s42_ch06",0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0
"s65_ch07",0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0
"s53_ch06",0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0
"s76_ch07",0,0,0,0,0,0,0,0,21763,0,0,0,0,0,0,0,0,0,0
"s106_ch07",0,0,0,0,0,0,0,0,0,3603,0,0,0,0,0,0,0,0,0
"s96_ch07",0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
"s77_ch07",0,0,0,0,0,0,0,0,0,0,0,23947,0,0,0,0,0,0,0
"s87_ch07",0,0,0,0,0,0,0,0,0,0,0,0,31,11,17,0,0,0,0
"s107_ch07",0,0,0,0,0,0,0,0,0,0,0,0,11,1005,3,0,0,0,0
"s97_ch07",0,0,0,0,0,0,0,0,0,0,0,0,17,3,3408,0,0,0,0
"s78_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34254,0,0,0
"s88_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
"s108_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,359,2
"s98_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7617
