"","s31_ch06","s43_ch06","s66_ch07","s54_ch06","s32_ch06","s44_ch06","s67_ch07","s55_ch06","s33_ch06","s68_ch07","s56_ch06","s34_ch06","s46_ch06","s69_ch07","s57_ch06","s79_ch07","s89_ch07","s109_ch07","s99_ch07","s80_ch07","s90_ch07","s110_ch07","s100_ch07"
"s31_ch06",879,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s43_ch06",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s66_ch07",87,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s54_ch06",0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s32_ch06",0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s44_ch06",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s67_ch07",0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s55_ch06",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s33_ch06",0,0,0,0,0,0,0,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s68_ch07",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"s56_ch06",0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"s34_ch06",0,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,0,0,0,0,0,0
"s46_ch06",0,0,0,0,0,0,0,0,0,0,0,0,95,49,68,0,0,0,0,0,0,0,0
"s69_ch07",0,0,0,0,0,0,0,0,0,0,0,0,49,497,47,0,0,0,0,0,0,0,0
"s57_ch06",0,0,0,0,0,0,0,0,0,0,0,0,68,47,74,0,0,0,0,0,0,0,0
"s79_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,75,0,0,0,0,0
"s89_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"s109_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,523,0,0,0,0,0
"s99_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"s80_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191,16,5,1
"s90_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,159,1,1
"s110_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,478,4
"s100_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6
