,,KPPR1_Lung_177,KPPR1_Spleen_177,KPPR1_Liver_177,KPPR1_Lung_178,KPPR1_Spleen_178,KPPR1_Liver_178,KPPR1_Blood_178,KPPR1_Lung_179,KPPR1_Spleen_179,KPPR1_Liver_179,KPPR1_Blood_179,KPPR1_Lung_190,KPPR1_Spleen_190,KPPR1_Liver_190,KPPR1_Blood_190,KPPR1_Lung_191,KPPR1_Spleen_191,KPPR1_Liver_191,KPPR1_Blood_191,KPPR1_Lung_192,KPPR1_Spleen_192,KPPR1_Liver_192,KPPR1_Blood_192,NOX2_Lung_187,NOX2_Spleen_187,NOX2_Liver_187,NOX2_Blood_187,NOX2_Lung_188,NOX2_Spleen_188,NOX2_Liver_188,NOX2_Blood_188,NOX2_Lung_189,NOX2_Spleen_189,NOX2_Liver_189,NOX2_Blood_189,NOX2_Lung_200,NOX2_Spleen_200,NOX2_Liver_200,NOX2_Blood_200,NOX2_Lung_201,NOX2_Spleen_201,NOX2_Liver_201,NOX2_Blood_201
,,s25_ch06,s38_ch06,s61_ch06,s26_ch06,s39_ch06,s62_ch06,s50_ch06,s27_ch06,s40_ch06,s63_ch06,s51_ch06,s73_ch07,s83_ch07,s103_ch07,s93_ch07,s74_ch07,s84_ch07,s104_ch07,s94_ch07,s75_ch07,s85_ch07,s105_ch07,s95_ch07,s35_ch06,s47_ch06,s70_ch07,s58_ch06,s36_ch06,s48_ch06,s71_ch07,s59_ch06,s37_ch06,s49_ch06,s72_ch07,s60_ch06,s81_ch07,s91_ch07,s111_ch07,s101_ch07,s82_ch07,s92_ch07,s112_ch07,s102_ch07
KPPR1_Lung_177,s25_ch06,0,0.900316316,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_177,s38_ch06,0.900316316,0,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_177,s61_ch06,0.900316316,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_178,s26_ch06,0,0,0,0,0.900316316,0.900316316,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_178,s39_ch06,0,0,0,0.900316316,0,0.112194128,0.102868917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_178,s62_ch06,0,0,0,0.900316316,0.112194128,0,0.137038159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_178,s50_ch06,0,0,0,0.900316316,0.102868917,0.137038159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_179,s27_ch06,0,0,0,0,0,0,0,0,0.772771801,0.756906822,0.770935581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_179,s40_ch06,0,0,0,0,0,0,0,0.772771801,0,0.285734159,0.108986341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_179,s63_ch06,0,0,0,0,0,0,0,0.756906822,0.285734159,0,0.284875986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_179,s51_ch06,0,0,0,0,0,0,0,0.770935581,0.108986341,0.284875986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
