"","s33_ch08","s38_ch08","s48_ch08","s34_ch08","s39_ch08","s44_ch08","s49_ch09","s35_ch08","s40_ch08","s45_ch08","s50_ch09","s36_ch08","s41_ch08","s46_ch08","s51_ch09","s37_ch08","s42_ch08","s47_ch08","s52_ch09","s53_ch09","s62_ch09","s71_ch09","s80_ch09","s54_ch09","s63_ch09","s72_ch09","s81_ch09","s55_ch09","s64_ch09","s73_ch09","s82_ch09","s56_ch09","s65_ch09","s74_ch09","s83_ch09","s57_ch09","s66_ch09","s75_ch09","s84_ch09","s58_ch09","s67_ch09","s76_ch09","s85_ch09","s59_ch09","s68_ch09","s77_ch09","s86_ch09","s60_ch09","s69_ch09","s78_ch09","s87_ch09","s61_ch09","s70_ch09","s79_ch09","s88_ch09"
"s33_ch08","0","0.895217397290415","0.896377139441812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s38_ch08","0.895217397290415","0","0.0990156158246857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s48_ch08","0.896377139441812","0.0990156158246857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s34_ch08","0","0","0","0","0.887067009328088","0.877462034235686","0.8860919295994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s39_ch08","0","0","0","0.887067009328088","0","0.15344222368359","0.141237835985838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s44_ch08","0","0","0","0.877462034235686","0.15344222368359","0","0.1285151988617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s49_ch09","0","0","0","0.8860919295994","0.141237835985838","0.1285151988617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s35_ch08","0","0","0","0","0","0","0","0","0.731710802048644","0.761633740575639","0.702203746095471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s40_ch08","0","0","0","0","0","0","0","0.731710802048644","0","0.76477322092656","0.328179906851116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s45_ch08","0","0","0","0","0","0","0","0.761633740575639","0.76477322092656","0","0.775073240875975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s50_ch09","0","0","0","0","0","0","0","0.702203746095471","0.328179906851116","0.775073240875975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s36_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0.611002716946905","0.733425683333146","0.768707804542444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s41_ch08","0","0","0","0","0","0","0","0","0","0","0","0.611002716946905","0","0.387680533217844","0.486621041462803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
