"","s29_ch06","s41_ch06","s64_ch06","s52_ch06","s30_ch06","s42_ch06","s65_ch07","s53_ch06","s76_ch07","s106_ch07","s96_ch07","s77_ch07","s87_ch07","s107_ch07","s97_ch07","s78_ch07","s88_ch07","s108_ch07","s98_ch07"
"s29_ch06","0","0.900316316157106","0.866832032370982","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s41_ch06","0.900316316157106","0","0.900316316157106","0.158214050805133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s64_ch06","0.866832032370982","0.900316316157106","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s52_ch06","0.900316316157106","0.158214050805133","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s30_ch06","0","0","0","0","0","0.875962177860329","0.866190494907333","0.893455567648549","0","0","0","0","0","0","0","0","0","0","0"
"s42_ch06","0","0","0","0","0.875962177860329","0","0.873578311541235","0.412514487746073","0","0","0","0","0","0","0","0","0","0","0"
"s65_ch07","0","0","0","0","0.866190494907333","0.873578311541235","0","0.869152500290596","0","0","0","0","0","0","0","0","0","0","0"
"s53_ch06","0","0","0","0","0.893455567648549","0.412514487746073","0.869152500290596","0","0","0","0","0","0","0","0","0","0","0","0"
"s76_ch07","0","0","0","0","0","0","0","0","0","0.812001994896471","0.891129617675815","0","0","0","0","0","0","0","0"
"s106_ch07","0","0","0","0","0","0","0","0","0.812001994896471","0","0.893975688485819","0","0","0","0","0","0","0","0"
"s96_ch07","0","0","0","0","0","0","0","0","0.891129617675815","0.893975688485819","0","0","0","0","0","0","0","0","0"
"s77_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0.802982188852908","0.827320502989863","0.858695014597503","0","0","0","0"
"s87_ch07","0","0","0","0","0","0","0","0","0","0","0","0.802982188852908","0","0.566353921683571","0.551344932469462","0","0","0","0"
"s107_ch07","0","0","0","0","0","0","0","0","0","0","0","0.827320502989863","0.566353921683571","0","0.490890049093901","0","0","0","0"
"s97_ch07","0","0","0","0","0","0","0","0","0","0","0","0.858695014597503","0.551344932469462","0.490890049093901","0","0","0","0","0"
"s78_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.896578720044305","0.885461594214814","0.844575668491796"
"s88_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.896578720044305","9.48637384723993e-09","0.319067916813923","0.542537940589873"
"s108_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.885461594214814","0.319067916813923","0","0.575725865636095"
"s98_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.844575668491796","0.542537940589873","0.575725865636095","0"
