"","s31_ch06","s43_ch06","s66_ch07","s54_ch06","s32_ch06","s44_ch06","s67_ch07","s55_ch06","s33_ch06","s68_ch07","s56_ch06","s34_ch06","s46_ch06","s69_ch07","s57_ch06","s79_ch07","s89_ch07","s109_ch07","s99_ch07","s80_ch07","s90_ch07","s110_ch07","s100_ch07"
"s31_ch06","0","0.900316316157106","0.722587031559001","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s43_ch06","0.900316316157106","0","0.877468764927744","0.365574352345807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s66_ch07","0.722587031559001","0.877468764927744","0","0.880027701810782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s54_ch06","0.900316316157106","0.365574352345807","0.880027701810782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s32_ch06","0","0","0","0","0","0.895123389459317","0.827334991186955","0.895123389459317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s44_ch06","0","0","0","0","0.895123389459317","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s67_ch07","0","0","0","0","0.827334991186955","0.900316316157106","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s55_ch06","0","0","0","0","0.895123389459317","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s33_ch06","0","0","0","0","0","0","0","0","0","0.885135065906418","0.899771230497783","0","0","0","0","0","0","0","0","0","0","0","0"
"s68_ch07","0","0","0","0","0","0","0","0","0.885135065906418","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0"
"s56_ch06","0","0","0","0","0","0","0","0","0.899771230497783","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s34_ch06","0","0","0","0","0","0","0","0","0","0","0","0","0.891939178767455","0.841266614824493","0.893688792584423","0","0","0","0","0","0","0","0"
"s46_ch06","0","0","0","0","0","0","0","0","0","0","0","0.891939178767455","0","0.481227486978745","0.16734729410851","0","0","0","0","0","0","0","0"
"s69_ch07","0","0","0","0","0","0","0","0","0","0","0","0.841266614824493","0.481227486978745","0","0.496801486309849","0","0","0","0","0","0","0","0"
"s57_ch06","0","0","0","0","0","0","0","0","0","0","0","0.893688792584423","0.16734729410851","0.496801486309849","0","0","0","0","0","0","0","0","0"
"s79_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.876326610261917","0.697492663406002","0.883975186365436","0","0","0","0"
"s89_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.876326610261917","0","0.900316316157106","0.813948039096269","0","0","0","0"
"s109_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.697492663406002","0.900316316157106","0","0.898374150881903","0","0","0","0"
"s99_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.883975186365436","0.813948039096269","0.898374150881903","0","0","0","0","0"
"s80_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.692058050926246","0.735444930517076","0.768501222123216"
"s90_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.692058050926246","0","0.75419980142692","0.729912081753815"
"s110_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.735444930517076","0.75419980142692","0","0.481733940638718"
"s100_ch07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.768501222123216","0.729912081753815","0.481733940638718","0"
