Sample,Group,Order,BioSample
s13_ch08,1,1,034.WT.gmhB.Lung
s14_ch08,2,1,035.WT.gmhB.Lung
s15_ch08,3,1,036.WT.gmhB.Lung
s16_ch08,4,1,037.WT.gmhB.Lung
s17_ch08,5,1,038.WT.gmhB.Lung
s18_ch08,1,2,034.WT.gmhB.Spleen
s19_ch08,2,2,035.WT.gmhB.Spleen
s20_ch08,3,2,036.WT.gmhB.Spleen
s21_ch08,4,2,037.WT.gmhB.Spleen
s22_ch08,5,2,038.WT.gmhB.Spleen
s23_ch08,1,3,034.WT.gmhB.Liver
s24_ch08,2,3,035.WT.gmhB.Liver
s25_ch08,3,3,036.WT.gmhB.Liver
s26_ch08,4,3,037.WT.gmhB.Liver
s27_ch08,5,3,038.WT.gmhB.Liver
s28_ch08,1,4,034.WT.gmhB.Blood
s29_ch08,2,4,035.WT.gmhB.Blood
s30_ch08,3,4,036.WT.gmhB.Blood
s31_ch08,4,4,037.WT.gmhB.Blood
s32_ch08,5,4,038.WT.gmhB.Blood
