Sample,Group,Order,BioSample
s29_ch06,1,1,gmhB_Lung_181
s41_ch06,1,2,gmhB_Spleen_181
s64_ch06,1,3,gmhB_Liver_181
s52_ch06,1,4,gmhB_Blood_181
s30_ch06,2,1,gmhB_Lung_182
s42_ch06,2,2,gmhB_Spleen_182
s65_ch07,2,3,gmhB_Liver_182
s53_ch06,2,4,gmhB_Blood_182
s76_ch07,3,1,gmhB_Lung_193
s106_ch07,3,3,gmhB_Liver_193
s96_ch07,3,4,gmhB_Blood_193
s77_ch07,4,1,gmhB_Lung_194
s87_ch07,4,2,gmhB_Spleen_194
s107_ch07,4,3,gmhB_Liver_194
s97_ch07,4,4,gmhB_Blood_194
s78_ch07,5,1,gmhB_Lung_195
s88_ch07,5,2,gmhB_Spleen_195
s108_ch07,5,3,gmhB_Liver_195
s98_ch07,5,4,gmhB_Blood_195
