Sample,Group,Order,BioSample
s31_ch06,1,1,tatC_Lung_183
s43_ch06,1,2,tatC_Spleen_183
s66_ch07,1,3,tatC_Liver_183
s54_ch06,1,4,tatC_Blood_183
s32_ch06,2,1,tatC_Lung_184
s44_ch06,2,2,tatC_Spleen_184
s67_ch07,2,3,tatC_Liver_184
s55_ch06,2,4,tatC_Blood_184
s33_ch06,3,1,tatC_Lung_185
s68_ch07,3,3,tatC_Liver_185
s56_ch06,3,4,tatC_Blood_185
s34_ch06,4,1,tatC_Lung_186
s46_ch06,4,2,tatC_Spleen_186
s69_ch07,4,3,tatC_Liver_186
s57_ch06,4,4,tatC_Blood_186
s79_ch07,5,1,tatC_Lung_197
s89_ch07,5,2,tatC_Spleen_197
s109_ch07,5,3,tatC_Liver_197
s99_ch07,5,4,tatC_Blood_197
s80_ch07,6,1,tatC_Lung_198
s90_ch07,6,2,tatC_Spleen_198
s110_ch07,6,3,tatC_Liver_198
s100_ch07,6,4,tatC_Blood_198
