"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s33_ch08",348495,5676,3117,555.2546743164,7698,29727.0450443779,26666666.67,3.88637790675857,7.42596873232657,3464.10323070928
"s34_ch08",366411,5239,2601.6,275.126876039894,6936.5,33729.2164961955,7866666.67,3.84114039061211,6.89579074843447,1134.09740791465
"s35_ch08",394079,5431,2631.6,251.390008773941,7235,36491.3269181711,45333333.33,3.85943853545506,7.65641765361862,6265.8373642018
"s36_ch08",414132,7405,2662.66666666667,54.6397996374277,10884,94015.0124506529,97333333.33,4.03678853310772,7.98826159671388,8942.79064038956
"s37_ch08",380905,7364,2470.33333333333,21.9788354699837,10800.8333333333,100965.484006844,226666666.7,4.03345726457087,8.35538765805044,20986.0350312476
"s38_ch08",378643,11,4,3.59808015452487,11,107.797312741075,5866.67,1.04139268515823,3.76839165985265,533.333636363636
"s39_ch08",442085,95,97.75,31.6132203329585,98.8333333333333,251.385984763487,115333.33,1.99490344298062,5.06195483152125,1166.94768971332
"s40_ch08",478683,25,16.25,16.4721417476343,26,81.9263246959675,9333.33,1.41497334797082,3.97003662151736,358.974230769231
"s41_ch08",259450,106,58,31.1003917092585,109,556.336963764948,79333.33,2.03742649794062,4.89945568408918,727.82871559633
"s42_ch08",316165,62,18.4166666666667,2.17736667704865,64.0833333333333,1323.01879157222,2533333.33,1.80674509375381,6.40369233698969,39531.8595058518
"s44_ch08",329382,246,114.083333333333,34.1319784163816,253,1693.17190370215,12000,2.40312052117582,4.07918124604763,47.4308300395257
"s45_ch08",320239,874,345.583333333333,70.3967919201977,930.272727272727,6926.88917512569,6800,2.96861028896883,3.83250891270624,7.30968435453924
"s46_ch08",288042,39,12,6.85449991193012,40.1666666666667,489.4329519277,120666.67,1.60386579219122,5.08158732781059,3004.14946058091
"s47_ch08",370475,2056,379.25,2.19426529883167,2312.4,49280.0375370506,2533333.33,3.36406296070308,6.40369233698969,1095.54286888082
"s48_ch08",440100,6,4,5.89972521696401,6,16.8064635323245,6970.15,0.778151250383644,3.84324212436362,1161.69166666667
"s49_ch09",394396,171,78.7692307692308,26.4932936358778,176,1121.85183877894,41333.33,2.24551266781415,4.61630039541882,234.848465909091
"s50_ch09",499220,19,14.0833333333333,16.6769307697053,19.5,56.9615010415203,7537.1,1.29003461136252,3.87720427739997,386.517948717949
"s51_ch09",320928,8,8,6.40630833700781,8,11.4084743515761,7e+08,0.903089986991944,8.84509804001426,87500000
"s52_ch09",490016,7,3,1.60112894736962,7,65.1772362368767,7.8e+07,0.845098040014257,7.89209460269048,11142857.1428571
