"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"ch9_ch03",238639,284,154.388888888889,12.255957822017,291,1863.27021406966,60666.67,2.46389298898591,4.78295015712775,208.476529209622
"ch10_ch03",230395,2,2,11.4643117678132,2,2.0520831916753,541,0.301029995663981,2.73319726510657,270.5
"ch11_ch03",77977,2,2,11.7349201253302,2,2.07915173624905,64,0.301029995663981,1.80617997398389,32
"ch12_ch03",583,54,73.3846153846154,54.2139292208308,72,101.509108142576,72666.67,1.85733249643127,4.86133525880671,1009.25930555556
"ch13_ch03",164126,3125,2190.6,791.741940140887,3714.5,9883.58749414064,8333333.33,3.56990036268471,6.92081875377866,2243.46031228968
"ch14_ch03",160217,34,10,19.3657163742516,34,393.153502678969,40666.67,1.53147891704226,4.60923861155299,1196.07852941176
"ch15_ch03",138761,51,10,19.5513396911177,51.8823529411765,967.404566775052,53333.33,1.71501966375355,4.72699870079286,1027.96667800454
"ch16_ch03",85168,196,13,9.77726429077069,200,7674.24109448945,83333.33,2.30102999566398,4.9208187365806,416.66665
"ch17_ch03",286309,4269,3381.57142857143,26.6322250009291,5363,33069.8259767415,326666666.7,3.72940779696307,8.51410482101715,60911.181558829
"ch18_ch03",274080,47,38.1176470588235,14.6532119541395,47.6470588235294,168.887652234424,453333.33,1.67803609750038,5.65641765045721,9514.40322222222
"ch19_ch03",266949,123,16,13.4813916060439,125,4595.34451543223,4933333.33,2.09691001300806,6.69314046038185,39466.66664
"ch20_ch03",337226,14,13,12.5338599652111,14,23.1609438303145,7133333.33,1.14612803567824,6.85329251842659,509523.809285714
"ch21_ch03",176009,1007,687.875,266.332896147023,1069.4,3353.38592756319,4333333.33,3.02914017976432,6.6368220972531,4052.11644847578
"ch22_ch03",249892,2,2,6.62639238236704,2,3.84859054088771,17,0.301029995663981,1.23044892137827,8.5
"ch23_ch03",5447,5,5,12.3662001587974,5,6.70655888131848,99,0.698970004336019,1.99563519459755,19.8
"ch24_ch03",564,31,37.5,67.8211792985142,45,45.8770214793029,6800,1.65321251377534,3.83250891270624,151.111111111111
"ch25_ch03",348721,894,792.294117647059,67.9292553239162,937.411764705882,7761.64462775909,58666666.67,2.97193039970135,7.76839141311916,62583.6680089106
"ch26_ch03",297912,123,63,26.8981008961519,125,644.981208619713,213333.33,2.09691001300806,5.32905871247837,1706.66664
"ch27_ch03",398422,163,67,32.6228576221466,165.235294117647,1301.77363266961,117333.33,2.2181028178233,5.06942139642056,710.098472766109
"ch28_ch03",391707,152,10,6.00802090934261,155,12394.5436963419,226666.67,2.19033169817029,5.35538766437326,1462.36561290323
"ch29_ch03",347466,3398,1901,469.680372629831,4066.30769230769,16816.922555292,4266666.67,3.60920023805398,6.6300887152675,1049.27295051266
"ch30_ch03",282100,15,11,28.7038524447934,15,31.8480445035774,1600,1.17609125905568,3.20411998265592,106.666666666667
"ch31_ch03",247411,11,10,24.8085480212029,11,15.5076587196141,10400,1.04139268515823,4.01703333929878,945.454545454545
"ch32_ch03",300150,11,10,24.193233784324,11,16.1880688614324,45000,1.04139268515823,4.65321251377534,4090.90909090909
"ch33_ch03",203250,2827,1568.375,15.9441687445147,3290,19937.6475667164,8466666.67,3.51719589794997,6.92771246207126,2573.45491489362
"ch34_ch03",351563,26,7,15.0932284401175,26.4705882352941,674.507805880389,39333.33,1.42276359239707,4.59476071578184,1485.9258
"ch35_ch03",450937,32,7,11.6149292465278,32,1569.15110554926,12933.33,1.50514997831991,4.11171035894296,404.1665625
"ch36_ch03",499070,1,1,5.14311386870968,1,1,306666.67,0,5.48666657734648,306666.67
"ch37_ch03",296659,3269,1820.625,391.386254316932,3895.45454545455,16609.5491988016,3733333.33,3.59055814110099,6.57209676756276,958.381951691949
"ch38_ch03",201760,52,20,13.422400156076,52.9411764705882,596.803117560857,4866.67,1.72379358806105,3.68723189852665,91.9259888888889
"ch39_ch03",111136,21,18,14.8746199303243,21.1764705882353,55.9875982767549,1333.33,1.32585357938901,3.12493765087074,62.9628055555556
"ch40_ch03",79214,12,10,6.72858452679028,12,43.3951431367264,2466.67,1.07918124604762,3.39211105189535,205.555833333333
"ch41_ch03",255404,2296,720.25,59.4762182613833,2610,34264.5666022132,7.2e+07,3.41664050733828,7.85733249643127,27586.2068965517
"ch42_ch03",305861,93,32,14.3522141058509,95,911.51999276495,326666.67,1.97772360528885,5.51410482540441,3438.59652631579
"ch43_ch03",260909,83,34,14.3581575774107,84.7058823529412,693.789563711416,81333.33,1.92791357071698,4.91026855382011,960.185145833333
"ch44_ch03",339272,90,16,12.3896100660535,92,4025.86462634247,2600000,1.96378782734556,6.41497334797082,28260.8695652174
"ch45_ch03",161130,2133,1050.5,45.7694001670664,2392.4,18823.9127608725,52666666.67,3.37883379374007,7.72153583226225,22014.1559396422
"ch46_ch03",179655,64,39.1764705882353,20.7993376400908,65,279.336917693661,51333.33,1.81291335664286,4.71039943791586,789.743538461538
"ch47_ch03",57886,77,36,18.2943829197129,78.3529411764706,522.045536102542,7333.33,1.89405530345601,3.86530122869592,93.593551051051
"ch48_ch03",210403,1393,744.25,11.0591133122165,1503.125,10176.4090272209,13333.33,3.17699509805393,4.12493862803467,8.87040665280665
"ch49_ch03",322034,2040,2213.14285714286,1048.71213204325,2281.28571428571,3386.83556243076,35333333.33,3.35817968087816,7.54818461050414,15488.3419944893
"ch50_ch03",308422,2,2,8.22053860677136,2,2.3092577912099,742,0.301029995663981,2.87040390527903,371
"ch51_ch03",6108,17,17,9.16055499682889,17,246.27398789369,128,1.23044892137827,2.10720996964787,7.52941176470588
"ch52_ch03",374227,37,31,18.5040807387133,37.0588235294118,78.0408055040445,720,1.56889162807531,2.85733249643127,19.4285714285714
"ch53_ch03",170673,1930,2048.28571428571,261.520053854984,2142.14285714286,4075.17127323748,3.4e+07,3.33084843008129,7.53147891704226,15871.9573191064
"ch54_ch03",173709,10,4,8.40932000803392,10,117.744558759922,1133.33,1,3.054356384984,113.333
"ch55_ch03",254,27,54,63.8692552847343,52,36.0241356187868,400,1.7160033436348,2.60205999132796,7.69230769230769
"ch56_ch03",136598,5,5,7.76230246681033,5,9.63007937300473,620,0.698970004336019,2.79239168949825,124
"ch57_ch03",228815,1448,538.058823529412,51.9671553974448,1575.13333333333,27879.331035442,6.8e+08,3.19731732223991,8.83250891270624,431709.48491133
"ch58_ch03",284872,222,72,80.7447406319823,226.647058823529,2696.60681086048,3e+06,2.35535008763473,6.47712125471966,13236.4391383338
"ch59_ch03",561,64,90,103.758467005049,88.6153846153846,88.5913513136522,733333.33,1.94750912678036,5.86530142412848,8275.46292534722
"ch60_ch03",1020,70,85.2,61.466318219157,84,126.398424964365,52666666.67,1.92427928606188,7.72153583226225,626984.12702381
"ch61_ch03",137469,2603,1759.2,492.084026205832,3006.61538461538,9493.48069279031,7066666.67,3.47807787538265,6.84921460641394,2350.37268356956
"ch62_ch03",171379,33,10,7.31336994050879,33.8823529411765,551.754943999328,28666.67,1.52997356204494,4.45737724702326,846.064913194444
"ch63_ch03",678,40,52.7142857142857,23.552490702421,51.4285714285714,102.774789333189,7600,1.71120446075303,3.88081359228079,147.777777777778
"ch64_ch03",154910,7,7,13.2748714954472,7,7.49417015158761,35333.33,0.845098040014257,4.54818456957393,5047.61857142857
