"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s25_ch06",537842,1285,327.636363636364,19.0767308685254,1381.4,22314.6088934347,2733333.333,3.14031945167013,6.43669259761109,1978.66898291588
"s26_ch06",664769,4437,1951.66666666667,860.326342211991,5544.11111111111,38212.1098343905,10400000,3.74383192551048,7.01703333929878,1875.86428041766
"s27_ch06",627716,6618,2978,330.41975980995,9280,52441.4705528874,9533333.333,3.96754797621886,6.9792447783942,1027.29885053879
"s38_ch06",236833,1,1,53719.0607238247,1,1,3,0,0.477121254719662,3
"s39_ch06",521289,6,4,44.0452622759659,6,71.6815791557327,4533.333333,0.778151250383644,3.65641765361862,755.5555555
"s40_ch06",425766,6,5,13.9985169934027,6,15.1175558255066,7533.333333,0.778151250383644,3.87698718440852,1255.5555555
"s50_ch06",1035703,6,6,38.9643395341763,6,29.0413743809249,3400,0.778151250383644,3.53147891704225,566.666666666667
"s51_ch06",851941,8,5,11.4030939981353,8,25.7124986750142,3666.666667,0.903089986991944,3.56427143047804,458.333333375
"s61_ch06",154847,3,3,0.335497281988043,3,3.25301905231328,4,0.477121254719662,0.602059991327962,1.33333333333333
"s62_ch06",233910,7,5,35.0268280540431,7,26.5003233662508,511,0.845098040014257,2.70842090013471,73
"s63_ch06",113742,23,14.1818181818182,24.9077122804274,24,93.7073446590198,894,1.38021124171161,2.95133751879592,37.25
"s73_ch07",565310,8013,4592.5,362.921404041417,12112,41479.0937455448,28666666.67,4.083215862156,7.4573771965744,2366.79876733818
"s74_ch07",488725,9760,6073,82.8035290015963,16407,60075.7259139389,9.4e+08,4.2150291780943,8.9731278535997,57292.6190040836
"s75_ch07",423023,6420,4325.66666666667,1398.38998003817,8957,24114.1223354469,37333333.33,3.95216257421446,7.57209676791174,4168.06222284247
"s83_ch07",443411,119,20,0.263448727846949,122.272727272727,2411.68039975376,4400,2.0873295991802,3.64345267648619,35.9851301115242
"s84_ch07",978960,64,8,40.3911326281908,66,7784.25881684231,3866666.667,1.81954393554187,6.58733673454469,58585.8585909091
"s85_ch07",390117,21,7,80.7289396150801,21.8181818181818,452.785265869358,6133.333333,1.33881855655338,3.78769656826627,281.111111095833
"s93_ch07",565078,9459,6137.57142857143,316.736993419372,15538,50265.7993271931,213333.3333,4.19139511711211,5.32905871919637,13.7297807504183
"s94_ch07",724347,5,4,31.6816539035247,5,9.94525269371447,87333333.33,0.698970004336019,7.94118003658351,17466666.666
"s95_ch07",693673,16,4,32.4166391619484,16,429.669434953072,726.6666667,1.20411998265592,2.86133523890486,45.41666666875
"s103_ch07",407333,4675,866.181818181818,123.038952498041,5985.5,97263.4745478365,1986666.667,3.77710043513858,6.29812500509344,331.913234817476
"s104_ch07",522210,5,4,30.6168836977903,5,9.86405469318868,21200000,0.698970004336019,7.32633586092875,4240000
"s105_ch07",791303,501,516.636363636364,51.2623249168028,517.727272727273,2638.69931079252,84000,2.71410104325689,4.92427928606188,162.247585601405
"s35_ch06",402799,23268,40943,13971.399327445,117734,47926.2476308994,4333333333,5.07090189937756,9.63682209755377,36806.1335977712
"s36_ch06",411949,24034,46699,28966.300849744,132689,47185.5946691622,7.2e+09,5.12283492107609,9.85733249643127,54262.222188727
"s37_ch06",249628,20786,33885,33148.9653258211,84192,38327.6305319869,566666666.7,4.92527082640561,8.75332766668416,6730.64740949259
"s47_ch06",756201,82,30.5454545454545,0.464669137642705,83,977.901835209566,9e+05,1.91907809237607,5.95424250943933,10843.3734939759
"s48_ch06",747555,128,50,41.6901729477671,132,1588.82589690744,180000,2.12057393120585,5.25527250510331,1363.63636363636
"s49_ch06",811800,28,9,3.20882625187053,28.3636363636364,386.155670599081,128000,1.45276190886022,5.10720996964787,4512.82051282051
"s58_ch06",988195,181,48,8.77944252095554,186.727272727273,4221.52237622517,2e+05,2.27120775410303,5.30102999566398,1071.08081791626
"s59_ch06",950197,11,10,2.14709573440397,11,26.4901285778366,320000,1.04139268515823,5.50514997831991,29090.9090909091
"s60_ch06",1082208,1,1,1.3192817046853,1,1,93333.33333,0,4.97003677660705,93333.33333
"s70_ch07",349685,101,47,2.08885160281445,103.727272727273,807.738802735341,493333.3333,2.01589295925999,5.69314046064595,4756.06193365469
"s71_ch07",173527,176,65.5,23.7986464504286,180,1957.03207621153,18533.33333,2.25527250510331,4.26795353678428,102.962962944444
"s72_ch07",289050,192,77.5454545454545,2.09644855695303,197.636363636364,2750.15258030482,132000,2.29586685459205,5.12057393120585,667.893284268629
"s81_ch07",712798,26355,56371,39410.2123862358,186723,56608.4306036763,1.06e+09,5.27119781638435,9.02530586526477,5676.85823385443
"s82_ch07",692034,26690,55945,41438.4987075048,200281,56867.5309010399,2933333333,5.30163975115806,9.46736141738115,14646.0889100813
"s91_ch07",836024,87,35,33.3173754244131,90,790.639781096825,54666.66667,1.95424250943932,4.73772259335452,607.407407444444
"s92_ch07",914915,508,73.1818181818182,2.88820460346239,526,17463.8132218495,58000,2.72098574415374,4.76342799356294,110.266159695817
"s101_ch07",680438,48,19,19.9939930187506,49.0909090909091,538.660366370487,26666.66667,1.69100107466474,4.42596873232657,543.209876611111
"s102_ch07",665531,4996,1522.2,1.78229495071532,6438.5,88418.3543772439,6666.666667,3.80878470003042,3.82390874096603,1.03543786083715
"s111_ch07",342423,107,34,26.3372047381634,111,1293.27002996353,56000,2.04532297878666,4.7481880270062,504.504504504504
"s112_ch07",375282,346,232,183.731728668909,355,1017.37177145736,2053333.333,2.55022835305509,6.31245945737426,5784.03755774648
