,TotalReads,Number of barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU/Ns
s13_ch08,234960,29375,36409.28571,410.3634521,58689.16667,63953.33653,346666666.7,4.768557943,8.539912085,5906.825507
s14_ch08,229767,8004,4027.6,322.2975212,9469.153846,40038.37414,33333333.33,3.976311173,7.522878745,3520.201897
s15_ch08,281464,27426,21258.4,353.691402,50870.33333,88330.8937,113333333.3,4.706464583,8.054357662,2227.886587
s16_ch08,292717,25156,23000,89.81292627,43743.71429,116156.4979,9.2e+08,4.640915656,8.963787827,21031.59311
s17_ch08,328156,17227,11599.36364,321.8080735,24513,60889.62553,38666666.67,4.389396465,7.587336735,1577.394308
s18_ch08,338346,27,19,5.302548993,27,67.14919894,69333.33,1.431363764,4.840942059,2567.901111
s19_ch08,222398,2,2,1.484023399,2,2.322317974,1266.67,0.301029996,3.102663485,633.335
s20_ch08,366777,27,12,22.42877256,27,189.6331984,19333.33,1.431363764,4.286306664,716.0492593
s21_ch08,322548,74,24,6.245411814,75,915.0009233,118000,1.875061263,5.071882007,1573.333333
s22_ch08,237187,44,27,16.07215672,44,134.0766488,866.67,1.643452676,2.937853764,19.69704545
s23_ch08,431862,1977,1299.25,41.78408027,2054.8125,7983.006345,13333.33,3.312772199,4.124938628,6.488830489
s24_ch08,406164,10,7.375,11.05278813,10.5625,20.92916379,11866.67,1.023766722,4.074328865,1123.471716
s25_ch08,351414,931,469.1176471,6.3266638,953.0625,7706.185989,8200,2.979121382,3.913813852,8.603842875
s26_ch08,383234,2780,1034,26.1486489,2941.2,29493.6848,134000,3.468524557,5.127104798,45.55963552
s27_ch08,359742,428,341,21.82747406,432,1089.971262,733.33,2.635483747,2.865299452,1.697523148
s28_ch08,437693,56,39,3.642325693,56.23529412,236.4656036,46000,1.750008971,4.662757832,817.9916318
s29_ch08,282388,4,3,2.296613628,4,6.119209517,893.78,0.602059991,2.951230632,223.445
s30_ch08,463369,114,38,3.241467314,116.7058824,1602.707757,493333.33,2.067092746,5.693140458,4227.150509
s31_ch08,477857,4,4.1875,4.079880424,4.1875,7.422213026,3133333.33,0.62195482,6.496006598,748258.7057
s32_ch08,403924,30,26,13.52244648,30,47.72602664,1540.77,1.477121255,3.187737814,51.359
