"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s29_ch06",316227,2506,1467.88888888889,335.197010246659,2601.27777777778,9802.67874735229,7133333.333,3.41518673086358,6.85329251860923,2742.24206039767
"s30_ch06",314039,13709,9396.6,2432.58466084839,17091.0909090909,36607.621717651,51333333.33,4.23276978423494,7.7103994660886,3003.51414681759
"s41_ch06",485781,2,2.05555555555556,139.847053516378,2.05555555555556,4.18443974828808,30,0.312929218963689,1.47712125471966,14.5945945945946
"s42_ch06",735125,16,14.7222222222222,1.57268536346967,16.8333333333333,36.1621093962049,466.6666667,1.226170123399,2.6690067809896,27.7227722792079
"s52_ch06",93262,1,1,331067.684252282,1,1,3.333333333,0,0.522878745236908,3.333333333
"s53_ch06",560104,13,5.22222222222222,0.909804417789552,13.6666666666667,112.425064556262,3866.666667,1.13566260200007,3.5873367345447,282.926829292683
"s64_ch06",381386,600,389,1.78471406174738,605,6116.18031369584,110666.6667,2.78175537465247,5.04401682911519,182.920110247934
"s65_ch07",285176,690,295,289.472317886535,698.111111111111,6304.88635953886,33333.33333,2.84392455027661,4.52287874523691,47.7478911300334
"s76_ch07",520087,21763,15913.5384615385,452.888954471553,31184.8,68115.2022621354,34666666.67,4.49394296310016,7.53991208462088,1111.65268560324
"s77_ch07",271482,23947,21063.25,233.25816373733,37045.4285714286,59107.5482647287,48666666.67,4.56873462341671,7.68723160109452,1313.70235267124
"s78_ch07",465144,34254,34406,245.876986539376,65709.6,71517.6236229517,98666666.67,4.81762882347842,7.99417045635395,1501.5563429088
"s87_ch07",205542,31,26,9.07889368164981,32,76.0293280751198,2200,1.50514997831991,3.34242268082221,68.75
"s88_ch07",314382,4,3.11111111111111,17.0333724321941,4.16666666666667,10.911926246217,9733.333333,0.619788758288394,3.98826159671388,2335.99999992
"s96_ch07",276426,95,968,202.153406116996,96,101.455468497776,95,1.98227123303957,1.97772360528885,0.989583333333333
"s97_ch07",822705,3408,1243,3453.8794151289,3576.82352941176,53061.9950832855,6466.666667,3.55349751378798,3.81068047523295,1.80793562048153
"s98_ch07",837019,7617,2983.70588235294,123.969706784178,8518.6,71987.0732246857,81333.33333,3.93036822595987,4.91026857160127,9.54773476040664
"s106_ch07",597126,3603,1832,134.861681975193,3796.88235294118,21677.6125539099,4e+05,3.57942714065836,5.60205999132796,105.349590221079
"s107_ch07",57055,1005,620,102.898445414085,1028,6283.15118542977,1600,3.01199311465926,3.20411998265592,1.55642023346304
"s108_ch07",82031,359,141.388888888889,59.2318554356611,363,4150.70336082141,7600,2.55990662503611,3.88081359228079,20.9366391184573
