"","M1SI_S1_L001_R1_001","M1cae_S2_L001_R1_001","M1col_S3_L001_R1_001","M1fec_S4_L001_R1_001","M2st_S5_L001_R1_001","M2SI_S6_L001_R1_001","M2cae_S7_L001_R1_001","M2col_S8_L001_R1_001","M2fec_S9_L001_R1_001","M3st_S10_L001_R1_001","M3SI_S11_L001_R1_001","M3cae_S12_L001_R1_001","M3col_S13_L001_R1_001","M3fec_S14_L001_R1_001","M4st_S15_L001_R1_001","M4SI_S16_L001_R1_001","M4cae_S17_L001_R1_001","M4col_S18_L001_R1_001","M4fec_S19_L001_R1_001","M5st_S1_L001_R1_001","M5si_S2_L001_R1_001","M5cae_S3_L001_R1_001","M5col_S4_L001_R1_001","M5fec_S5_L001_R1_001","M7st_S6_L001_R1_001","M7si_S7_L001_R1_001","M7cae_S8_L001_R1_001","M7col_S9_L001_R1_001","M724_S10_L001_R1_001","M748_S9_L001_R1_001","M8st_S12_L001_R1_001","M8si_S13_L001_R1_001","M8cae_S14_L001_R1_001","M8col_S15_L001_R1_001","M824_S17_L001_R1_001","M848_S16_L001_R1_001","M9SI_S1_L001_R1_001","M9cae_S2_L001_R1_001","M9col_S3_L001_R1_001","M924_S5_L001_R1_001","M948_S4_L001_R1_001","M10st_S6_L001_R1_001","M10SI_S7_L001_R1_001","M10cae_S8_L001_R1_001","M10col_S9_L001_R1_001","M1024_S11_L001_R1_001","M1048_S10_L001_R1_001","M11SI_S13_L001_R1_001","M11cae_S14_L001_R1_001","M11col_S15_L001_R1_001","M1124_S17_L001_R1_001","M1148_S18_L001_R1_001","M1172_S16_L001_R1_001","M12SI_S1_L001_R1_001","M12cae_S2_L001_R1_001","M12col_S3_L001_R1_001","M1224_S5_L001_R1_001","M1272_S4_L001_R1_001","M13st_S6_L001_R1_001","M13SI_S7_L001_R1_001","M13cae_S8_L001_R1_001","M13col_S9_L001_R1_001","M1324_S11_L001_R1_001","M1372_S10_L001_R1_001"
"M1SI_S1_L001_R1_001",1,0.995333845579181,0.993586336784663,0.993511233562896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1cae_S2_L001_R1_001",0.998114367642828,1,0.996361977082478,0.998168843524833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1col_S3_L001_R1_001",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1fec_S4_L001_R1_001",0.998114367642828,1,0.998189818832679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2st_S5_L001_R1_001",0,0,0,0,1,0.214656822367149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2SI_S6_L001_R1_001",0,0,0,0,1,1,0.949345958279379,0.948488789668787,0.94763726757925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2cae_S7_L001_R1_001",0,0,0,0,0,0.989175684570899,1,0.998189818832679,0.99820013906919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2col_S8_L001_R1_001",0,0,0,0,0,0.989175684570899,0.999091903274198,1,0.999102232837317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2fec_S9_L001_R1_001",0,0,0,0,0,0.989175684570899,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3st_S10_L001_R1_001",0,0,0,0,0,0,0,0,0,1,0.114754627692407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3SI_S11_L001_R1_001",0,0,0,0,0,0,0,0,0,0.430676558073393,1,0.975256228191019,0.972950506000705,0.971444025625687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3cae_S12_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0.996816133946805,1,0.993824314164887,0.995690181339845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3col_S13_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0.994794668877768,0.994159329589842,1,0.992979578412791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3fec_S14_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0.997217481858008,1,0.996941598047025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
