"","M1SI_S1_L001_R1_001","M1cae_S2_L001_R1_001","M1col_S3_L001_R1_001","M1fec_S4_L001_R1_001","M2st_S5_L001_R1_001","M2SI_S6_L001_R1_001","M2cae_S7_L001_R1_001","M2col_S8_L001_R1_001","M2fec_S9_L001_R1_001","M3st_S10_L001_R1_001","M3SI_S11_L001_R1_001","M3cae_S12_L001_R1_001","M3col_S13_L001_R1_001","M3fec_S14_L001_R1_001","M4st_S15_L001_R1_001","M4SI_S16_L001_R1_001","M4cae_S17_L001_R1_001","M4col_S18_L001_R1_001","M4fec_S19_L001_R1_001","M5st_S1_L001_R1_001","M5si_S2_L001_R1_001","M5cae_S3_L001_R1_001","M5col_S4_L001_R1_001","M5fec_S5_L001_R1_001","M7st_S6_L001_R1_001","M7si_S7_L001_R1_001","M7cae_S8_L001_R1_001","M7col_S9_L001_R1_001","M724_S10_L001_R1_001","M748_S9_L001_R1_001","M8st_S12_L001_R1_001","M8si_S13_L001_R1_001","M8cae_S14_L001_R1_001","M8col_S15_L001_R1_001","M824_S17_L001_R1_001","M848_S16_L001_R1_001","M9SI_S1_L001_R1_001","M9cae_S2_L001_R1_001","M9col_S3_L001_R1_001","M924_S5_L001_R1_001","M948_S4_L001_R1_001","M10st_S6_L001_R1_001","M10SI_S7_L001_R1_001","M10cae_S8_L001_R1_001","M10col_S9_L001_R1_001","M1024_S11_L001_R1_001","M1048_S10_L001_R1_001","M11SI_S13_L001_R1_001","M11cae_S14_L001_R1_001","M11col_S15_L001_R1_001","M1124_S17_L001_R1_001","M1148_S18_L001_R1_001","M1172_S16_L001_R1_001","M12SI_S1_L001_R1_001","M12cae_S2_L001_R1_001","M12col_S3_L001_R1_001","M1224_S5_L001_R1_001","M1272_S4_L001_R1_001","M13st_S6_L001_R1_001","M13SI_S7_L001_R1_001","M13cae_S8_L001_R1_001","M13col_S9_L001_R1_001","M1324_S11_L001_R1_001","M1372_S10_L001_R1_001"
"M1SI_S1_L001_R1_001",200,198,200,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1cae_S2_L001_R1_001",198,203,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1col_S3_L001_R1_001",200,203,207,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1fec_S4_L001_R1_001",198,203,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2st_S5_L001_R1_001",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2SI_S6_L001_R1_001",0,0,0,0,2,166,157,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2cae_S7_L001_R1_001",0,0,0,0,0,157,206,205,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2col_S8_L001_R1_001",0,0,0,0,0,157,205,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2fec_S9_L001_R1_001",0,0,0,0,0,157,206,207,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3st_S10_L001_R1_001",0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3SI_S11_L001_R1_001",0,0,0,0,0,0,0,0,0,1,419,411,406,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3cae_S12_L001_R1_001",0,0,0,0,0,0,0,0,0,0,411,479,462,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
