,M1024_S11_L001_R1_001,M1048_S10_L001_R1_001,M10cae_S8_L001_R1_001,M10col_S9_L001_R1_001,M10SI_S7_L001_R1_001,M10st_S6_L001_R1_001,M1124_S17_L001_R1_001,M1148_S18_L001_R1_001,M1172_S16_L001_R1_001,M11cae_S14_L001_R1_001,M11col_S15_L001_R1_001,M11SI_S13_L001_R1_001,M1224_S5_L001_R1_001,M1272_S4_L001_R1_001,M12cae_S2_L001_R1_001,M12col_S3_L001_R1_001,M12SI_S1_L001_R1_001,M1324_S11_L001_R1_001,M1372_S10_L001_R1_001,M13cae_S8_L001_R1_001,M13col_S9_L001_R1_001,M13SI_S7_L001_R1_001,M13st_S6_L001_R1_001,M1cae_S2_L001_R1_001,M1col_S3_L001_R1_001,M1fec_S4_L001_R1_001,M1SI_S1_L001_R1_001,M2cae_S7_L001_R1_001,M2col_S8_L001_R1_001,M2fec_S9_L001_R1_001,M2SI_S6_L001_R1_001,M2st_S5_L001_R1_001,M3cae_S12_L001_R1_001,M3col_S13_L001_R1_001,M3fec_S14_L001_R1_001,M3SI_S11_L001_R1_001,M3st_S10_L001_R1_001,M4cae_S17_L001_R1_001,M4col_S18_L001_R1_001,M4fec_S19_L001_R1_001,M4SI_S16_L001_R1_001,M4st_S15_L001_R1_001,M5cae_S3_L001_R1_001,M5col_S4_L001_R1_001,M5fec_S5_L001_R1_001,M5si_S2_L001_R1_001,M5st_S1_L001_R1_001,M724_S10_L001_R1_001,M748_S9_L001_R1_001,M7cae_S8_L001_R1_001,M7col_S9_L001_R1_001,M7si_S7_L001_R1_001,M7st_S6_L001_R1_001,M824_S17_L001_R1_001,M848_S16_L001_R1_001,M8cae_S14_L001_R1_001,M8col_S15_L001_R1_001,M8si_S13_L001_R1_001,M8st_S12_L001_R1_001,M924_S5_L001_R1_001,M948_S4_L001_R1_001,M9cae_S2_L001_R1_001,M9col_S3_L001_R1_001,M9SI_S1_L001_R1_001
PA_WT_0000001 mapping,0,0,0,0,0,0,4,8,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,10393,6417,9605,10854,13524,6419,14604,586,0,6343,7274,6063,4265,0,762,1117,1610,0,0,0,0,0,431,0,4889,823,1983,1177,4047,634,16300,16790,15005,17605,12419,0,0,12,14,0,0
PA_WT_0000002 mapping,0,0,0,0,0,0,14645,22595,15675,18201,15517,20714,0,0,0,0,0,0,0,0,0,0,0,18024,11088,16788,13256,9850,5232,10256,553,0,8453,11253,7887,8150,0,0,0,0,0,0,23081,23795,28110,862,37571,8226,1701,3857,2571,9917,6502,16441,17737,15020,18465,75606,54978,17676,32143,28342,24235,20320
PA_WT_0000003 mapping,0,0,0,0,0,0,28,54,0,39,25,0,0,0,0,0,0,0,0,0,0,0,0,3089,2033,2980,2483,7740,3433,8400,94,0,8738,10236,8517,5829,0,0,0,0,0,0,2091,2142,2332,0,3839,5242,2376,3614,3576,2260,568,6135,6730,5808,6980,4562,0,18915,37303,33635,30821,22260
PA_WT_0000004 mapping,0,0,0,0,0,0,27046,40644,28775,32994,26940,42495,0,0,0,0,0,0,0,0,0,0,0,5354,3783,4987,6565,45382,23646,48076,3597,0,5857,8061,5590,3736,0,0,0,0,0,0,0,0,0,0,0,1219,92,260,192,112,0,10547,11156,9662,12099,8179,0,0,51,33,0,0
PA_WT_0000005 mapping,0,0,0,0,0,0,3,7,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,19468,12858,18028,14750,9424,4530,9750,534,0,11603,12904,11399,7672,0,0,0,0,0,0,9317,8840,10836,0,15409,4401,595,1456,984,1648,0,5802,6247,5488,6476,40401,222969,0,6,5,0,0
PA_WT_0000006 mapping,0,0,0,0,0,0,2,5,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11312,7671,10222,13843,28714,15651,30496,1478,0,2568,2785,2603,1547,0,0,0,0,0,0,0,0,0,0,0,3056,4094,7731,7190,4396,5694,5871,6134,5410,6033,4195,0,0,8,5,0,0
PA_WT_0000007 mapping,249453,183730,148894,83305,194196,197496,153,283,0,360,166,0,0,0,0,0,0,0,0,0,0,0,0,14445,9569,13848,17822,851,272,798,0,0,6287,10312,5164,5408,11004,0,0,0,0,0,0,0,0,0,0,2469,160,500,318,542,0,1368,1235,1155,1447,968,0,0,220,206,182,166
PA_WT_0000008 mapping,0,0,0,0,0,0,28,51,0,41,24,0,0,0,0,0,0,0,0,0,0,0,0,12047,6800,11269,14602,21523,12051,23382,888,0,8600,9926,7918,5460,0,0,0,0,0,0,0,0,0,0,0,3774,4293,9283,6762,7369,7822,6468,6928,5727,6831,5018,0,48276,34333,30454,23694,20785
PA_WT_0000009 mapping,0,0,0,0,0,0,6,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,6909,4500,6462,10199,0,0,0,0,0,7872,9536,7194,4734,0,0,0,0,0,0,64609,63214,79759,3615,95428,3607,5607,7530,7763,3784,5859,14746,17422,15514,19083,13810,0,0,13,7,0,0
PA_WT_0000010 mapping,0,0,0,0,0,0,15577,23827,17057,19262,15482,22857,0,0,0,0,0,0,0,0,0,0,0,4053,2847,3699,4350,0,0,0,0,0,5977,4826,5871,3849,0,0,0,0,0,0,0,0,0,0,0,949,100,161,83,109,0,5875,6186,5525,6689,4824,0,0,34,21,0,0
PA_WT_0000011 mapping,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4740,2896,4373,5328,0,0,0,0,0,340,560,253,162,0,0,0,0,0,0,0,0,0,0,0,4100,3212,6467,4818,5208,4201,7364,8138,6745,8376,6627,0,0,6,5,0,0
PA_WT_0000012 mapping,0,0,0,0,0,0,52570,77774,53151,61332,51509,80461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,3431,2295,3677,0,0,0,0,0,0,0,0,0,0,0,2408,286,654,392,489,0,1952,2082,1882,2222,1626,0,16769,1276,1046,1255,0
PA_WT_0000013 mapping,0,0,0,0,0,0,4,8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13068,6691,13028,1097,0,1861,2374,1760,1532,0,0,0,0,0,0,14089,12392,16059,0,24156,3006,12650,23509,19460,16884,23018,5479,5680,4966,6269,4023,0,0,5,3,0,0
PA_WT_0000014 mapping,0,0,0,0,0,0,2,5,0,7,3,0,0,0,0,0,0,207455,388529,243853,229374,261641,227538,9785,6662,9024,10109,0,0,0,0,0,893,1861,475,165,0,0,0,0,0,0,0,0,0,0,0,5713,603,1240,883,932,0,6262,5894,5787,7476,4433,0,0,8,7,0,0
PA_WT_0000015 mapping,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,1829,1338,2124,0,0,0,0,0,0,9047,8487,10864,0,13631,2248,2943,3555,4533,538,44,3074,3323,2825,3415,2290,0,0,0,0,0,0
PA_WT_0000016 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,958,1809,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,95,168,107,113,0,5954,6319,5357,6668,4272,0,1957,3073,2319,1222,761
PA_WT_0000017 mapping,0,0,0,0,0,0,2,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,18282,12222,17199,17592,982,477,1015,0,0,3757,5293,3301,2212,0,0,0,0,0,0,0,0,0,0,0,1425,193,410,256,244,275,3875,4300,3557,4216,3232,0,0,3,7,0,0
PA_WT_0000018 mapping,0,0,0,0,0,0,15907,24395,18037,19633,15887,24784,0,0,0,0,0,0,0,0,0,0,0,5694,3250,5340,4089,772,412,809,0,0,6239,6949,5600,4756,0,0,0,0,0,0,0,0,0,0,0,1676,237,508,339,563,179,3894,4024,3592,4264,2930,0,0,36,24,0,0
PA_WT_0000019 mapping,0,0,0,0,0,0,35,43,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11640,5954,12278,1016,0,3420,3706,3374,2407,0,0,0,0,0,0,9047,9265,10747,0,10368,2832,371,804,481,1193,192,6006,6590,5428,6633,4439,0,16850,39584,34495,27489,23508
PA_WT_0000020 mapping,0,0,0,0,0,0,49054,73299,53070,60009,50844,77212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,2463,725,170,0,0,0,0,0,0,0,0,0,0,0,2115,181,443,286,272,0,1607,1530,1385,1830,1020,0,0,89,56,0,0
PA_WT_0000021 mapping,0,0,0,0,0,0,0,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3392,2324,3090,2405,15796,8268,16860,1090,0,2583,2576,2529,1341,0,0,0,0,0,0,0,0,0,0,0,4406,18681,37810,28766,32264,67490,2932,3299,3064,3286,2998,0,0,2,3,0,0
PA_WT_0000022 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,2851,2175,818,0,0,0,0,0,0,0,0,0,0,0,1194,145,321,191,269,1088,5263,5688,4663,5953,4183,0,0,0,0,0,0
PA_WT_0000023 mapping,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,26329,17569,24227,23965,4222,2498,4355,111,0,11228,12839,10076,7346,0,0,0,0,0,0,0,0,0,0,0,1433,9371,13759,14997,7288,1179,1206,1160,943,1173,784,0,0,4,8,0,0
PA_WT_0000024 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,438,457,0,0,0,0,0,0,0,0,0,0,0,0,1932,302,594,361,579,752,6531,6995,5783,7243,5230,0,0,0,0,0,0
