,TotalReads,Number of barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU/Ns
M1024_S11_L001_R1_001,1118094,3,3.111111111,6.739492253,3,4.021980455,837500,0.492915522,5.922984816,269196.4286
M1048_S10_L001_R1_001,934230,7,3.111111111,6.453662589,7,55.92145331,1412500,0.865301426,6.149988456,192613.6364
M10cae_S8_L001_R1_001,740510,3,3,6.64835433,3,3.96513686,36250000,0.477121255,7.559308011,12083333.33
M10col_S9_L001_R1_001,420511,7,3.111111111,6.443211431,7,56.80307973,13000,0.865301426,4.113943352,1772.727273
M10SI_S7_L001_R1_001,954622,7,3,6.58008501,7,53.91624507,71250,0.84509804,4.852784869,10178.57143
M10st_S6_L001_R1_001,469161,4,3.111111111,22.81731797,4,22.04612725,23,0.619788758,1.361727836,5.52
M1124_S17_L001_R1_001,568337,31,27.36842105,8.302866056,32,46.11455079,2250000,1.499397649,6.352182518,71250
M1148_S18_L001_R1_001,866249,31,28.42105263,8.230629482,33,46.05081146,63750000,1.513638089,7.804480189,1953629.032
M1172_S16_L001_R1_001,631420,31,28.42105263,8.083526299,33,45.81714873,4625000,1.513638089,6.665111737,141733.871
M11cae_S14_L001_R1_001,702127,31,27.36842105,8.122954603,32,46.11906749,31250000,1.499397649,7.494850022,989583.3333
M11col_S15_L001_R1_001,602750,31,28.42105263,7.704715428,33,46.15521981,32500,1.513638089,4.511883361,995.9677419
M11SI_S13_L001_R1_001,879945,32,27.36842105,8.191855929,34,54.20185061,1875,1.527426373,3.273001272,55.6640625
M1224_S5_L001_R1_001,648800,10,9.444444444,20.41816282,11,12.71143427,3250000,1.021189299,6.511883361,309523.8095
M1272_S4_L001_R1_001,822762,10,9.444444444,19.14045189,11,12.90590067,10375000,1.021189299,7.015988105,988095.2381
M12cae_S2_L001_R1_001,1300151,10,9.444444444,19.61886135,11,12.87207656,5.50E+07,1.021189299,7.740362689,5238095.238
M12col_S3_L001_R1_001,633351,10,9.444444444,18.84621754,11,12.82677286,67500,1.021189299,4.829303773,6428.571429
M12SI_S1_L001_R1_001,922733,10,9.444444444,18.45015822,11,12.97724894,126250,1.021189299,5.101231387,12023.80952
M1324_S11_L001_R1_001,618474,3,3.111111111,11.12119536,3,3.000301015,110000,0.492915522,5.041392685,35357.14286
M1372_S10_L001_R1_001,1119179,3,3,11.67566403,3,3.002016759,6750000,0.477121255,6.829303773,2250000
M13cae_S8_L001_R1_001,725232,3,3.111111111,11.07826179,3,3.000368485,28750000,0.492915522,7.458637849,9241071.429
M13col_S9_L001_R1_001,690558,3,3,10.91454196,3,3.000210881,81250,0.477121255,4.90982337,27083.33333
M13SI_S7_L001_R1_001,719707,3,3.111111111,6.018103623,3,3.471234897,8875,0.492915522,3.948168362,2852.678571
M13st_S6_L001_R1_001,554864,3,3.111111111,14.69341672,3,3.042768827,9875,0.492915522,3.994537104,3174.107143
M1cae_S2_L001_R1_001,1086321,203,197.5,254.7724783,239,292.2059821,58750000,2.378397901,7.769007871,245815.8996
M1col_S3_L001_R1_001,700353,207,197.1428571,272.6283279,250,314.1649063,68750,2.398683876,4.837272703,274.5293782
M1fec_S4_L001_R1_001,992561,205,198.6666667,258.0739988,242,302.1515823,7750000,2.383216752,6.889301703,32068.96552
M1SI_S1_L001_R1_001,1081146,200,192.8571429,243.1880691,243,293.8807586,7000,2.386116608,3.84509804,28.77275396
M2cae_S7_L001_R1_001,1415542,206,151.4285714,208.7732725,254,551.9791122,62500000,2.405490843,7.795880017,245690.9586
M2col_S8_L001_R1_001,738727,207,150,212.9833518,253,591.0576219,61250,2.402856352,4.787106093,242.2421661
M2fec_S9_L001_R1_001,1515942,208,152.8571429,210.9870411,254,582.1395207,5125000,2.404263402,6.70969387,20203.67937
M2SI_S6_L001_R1_001,780307,166,61.17647059,5.745326205,191,2451.02048,11875,2.281601444,4.074633618,62.09150327
M2st_S5_L001_R1_001,1032841,2,1,7.504333509,2,6.970898715,225000,0.312929219,5.352182518,109459.4595
M3cae_S12_L001_R1_001,904235,479,502,285.346684,731,887.0401673,22500000,2.863917377,7.352182518,30779.75376
M3col_S13_L001_R1_001,1174829,480,486.3333333,255.1345521,728,960.8263104,37500,2.862197659,4.574031268,51.50312834
M3fec_S14_L001_R1_001,872081,492,505.2727273,281.2890357,759,983.1127448,1412500,2.880241776,6.149988456,1861.001318
M3SI_S11_L001_R1_001,763486,419,450.0833333,107.1928062,604,768.2808607,7250,2.781036939,3.860338007,12.00331126
M3st_S10_L001_R1_001,1000764,4,2.055555556,2.400992907,4,19.33521961,8,0.619788758,0.903089987,1.92
M4cae_S17_L001_R1_001,526512,36,14.72222222,5.596557686,38,295.4399738,3.50E+07,1.578578895,7.544068044,923611.1111
M4col_S18_L001_R1_001,623671,36,16.83333333,6.459120871,38,254.0966432,46250,1.578578895,4.665111737,1220.486111
M4fec_S19_L001_R1_001,726384,38,17,7.344533537,39,297.8166322,4625000,1.590478119,6.665111737,118750
M4SI_S16_L001_R1_001,1034756,24,5.222222222,1.730608211,25,702.2881677,2750000,1.402487636,6.439332694,108854.1667
M4st_S15_L001_R1_001,1131411,4,4.166666667,3.887813828,4,4.104703758,8,0.619788758,0.903089987,1.92
M5cae_S3_L001_R1_001,695954,66,54.44444444,52.13147825,71,118.046975,32500000,1.851937465,7.511883361,457031.25
M5col_S4_L001_R1_001,696010,51,52.63157895,51.26559687,53,63.25956699,33750,1.721246399,4.528273777,641.25
M5fec_S5_L001_R1_001,835147,65,53.68421053,52.70913622,70,112.0362048,4250000,1.84509804,6.62838893,60714.28571
M5si_S2_L001_R1_001,910428,97,29.47368421,11.20629762,106,1415.61227,17250,2.024823584,4.236789099,162.9166667
M5st_S1_L001_R1_001,1039712,64,53.68421053,52.22058121,68,106.4739039,56250,1.834009068,4.750122527,824.3534483
M724_S10_L001_R1_001,588111,995,1525.666667,1000.617792,2202,1733.521081,11750000,3.342901832,7.070037867,5335.019783
M748_S9_L001_R1_001,665394,1323,527.0909091,93.50686436,3585,27256.69617,8.50E+07,3.55448916,7.929418926,23709.90237
M7cae_S8_L001_R1_001,1162464,1010,565.2727273,101.0763116,2231,10149.75955,812500000,3.34849957,8.90982337,364186.4635
M7col_S9_L001_R1_001,993309,969,460.6666667,92.41794649,2117,11129.81609,8375000,3.325662241,6.922984816,3956.603901
M7si_S7_L001_R1_001,1031942,911,478,109.7733912,1921,8723.058044,101250000,3.283430464,8.005395032,52718.68492
M7st_S6_L001_R1_001,718335,305,161.1764706,72.54589336,406,2106.423462,11250,2.608169324,4.051152522,27.73212818
M824_S17_L001_R1_001,1009461,666,821,868.6622202,1168,1135.638512,10750000,3.067566768,7.031408464,9201.141227
M848_S16_L001_R1_001,1085596,665,871.2857143,872.8862723,1169,1125.423513,3500000,3.067920644,6.544068044,2993.280391
M8cae_S14_L001_R1_001,921244,669,857,857.3568288,1180,1163.443011,10375000,3.072049269,7.015988105,8788.987293
M8col_S15_L001_R1_001,1135311,668,829.5,843.047422,1182,1161.841043,165000,3.072494985,5.217483944,139.6332863
M8si_S13_L001_R1_001,968100,651,797,8.689540116,1126,1345.694975,98750,3.051678621,4.994537104,87.67150928
M8st_S12_L001_R1_001,813110,16,15,12.41710777,16,20.14144763,28,1.204119983,1.447158031,1.75
M924_S5_L001_R1_001,968944,34,29.47368421,18.17944596,36,59.23532003,900,1.553755312,2.954242509,25.14705882
